상권코드,분기당매출건수,주중매출건수,주말매출건수,월요일매출건수,화요일매출건수,수요일매출건수,목요일매출건수,금요일매출건수,토요일매출건수,일요일매출건수,시간대0006매출건수,시간대0611매출건수,시간대1114매출건수,시간대1417매출건수,시간대1721매출건수,시간대2124매출건수,남성매출건수,여성매출건수,연령대10매출건수,연령대20매출건수,연령대30매출건수,연령대40매출건수,연령대50매출건수,연령대60이상매출건수,분기당매출금액,주중매출금액,주말매출금액,월요일매출금액,화요일매출금액,수요일매출금액,목요일매출금액,금요일매출금액,토요일매출금액,일요일매출금액,시간대0006매출금액,시간대0611매출금액,시간대1114매출금액,시간대1417매출금액,시간대1721매출금액,시간대2124매출금액,남성매출금액,여성매출금액,연령대10매출금액,연령대20매출금액,연령대30매출금액,연령대40매출금액,연령대50매출금액,연령대60이상매출금액,점포수,총생활인구수,남성생활인구수,여성생활인구수,연령대10생활인구수,연령대20생활인구수,연령대30생활인구수,연령대40생활인구수,연령대50생활인구수,연령대60이상생활인구수,시간대0006생활인구수,시간대0611생활인구수,시간대1114생활인구수,시간대1417생활인구수,시간대1721생활인구수,시간대2124생활인구수,월요일생활인구수,화요일생활인구수,수요일생활인구수,목요일생활인구수,금요일생활인구수,토요일생활인구수,일요일생활인구수,총직장인구수,집객시설수,관공서수,은행수,대학교수,백화점수,슈퍼마켓수,의료시설수,교육시설수,여가시설수,교통시설수,시간대0006유동인구수,시간대0611유동인구수,시간대1114유동인구수,시간대1417유동인구수,시간대1721유동인구수,시간대2124유동인구수,총유동인구수,cluster
2130326,55032,39187,15845,7157,7862,8348,8190,7630,8421,7424,0,8481,12309,13537,17181,3524,20898,33745,911,6674,13888,15735,9834,7601,506386586,357030858,149355728,67966479,72453616,72526764,71543504,72540495,80646455,68709273,0,76056035,116620461,122107869,160577820,31024401,199617949,298205799,4770997,54409607,122047171,158730757,88298907,69566308,2,145517,67147,78370,24334,13530,26184,27154,21362,32952,34203,31453,17958,17963,25499,18440,20537,20714,20984,20959,20935,20823,20566,935,11,0,0,0,0,0,0,0,0,0,92302,1132651,432245,501141,941946,323593,3423878,0
2130325,3158,1996,1162,399,551,111,458,477,577,585,0,223,917,1101,910,7,1317,1592,20,125,196,642,747,1179,22507392,14226642,8280750,2507809,4354600,835937,3174724,3353572,4081414,4199336,0,2439021,6933162,7530634,5579680,24895,7782856,10700773,193261,781561,1134018,4671680,4705090,6998019,1,204740,91758,112983,32724,21395,27840,34927,32742,55113,38673,39014,28315,29778,42859,26103,28942,28821,29147,29448,29656,29672,29056,89,2,0,0,0,0,0,0,0,0,0,61796,763591,408065,477503,744147,281506,2736608,0
2130324,6179,4563,1616,992,954,955,796,866,741,875,0,426,1230,2033,2135,355,3099,3080,24,580,827,1409,1793,1546,42974590,29904516,13070074,6280902,6329759,5551984,5836460,5905411,5793906,7276168,0,2581548,8820685,14108290,14592527,2871540,20541381,22433209,260369,2583164,4993777,12844099,11807103,10486078,3,506523,232053,274471,84356,56747,70321,76606,80562,137931,142738,103748,58341,57614,79840,64245,71545,71690,71191,70622,71792,75111,74572,154,5,0,0,0,0,0,0,0,0,0,46262,594849,325962,385854,578937,203902,2135766,0
2130323,18039,10177,7862,1987,1080,1684,1956,3470,4549,3313,0,1054,4272,4723,7219,771,9704,8137,105,1412,2073,3838,5343,5069,141871572,77504336,64367236,14559778,8855423,13078716,13641896,27368523,38973419,25393817,0,9818036,34438779,36155725,56292132,5166900,69414954,69279585,227717,10154787,16368223,35396454,42148418,34398941,3,347808,171022,176786,54293,45265,43682,54020,60337,90211,94749,72545,39982,40555,57081,42896,49441,49168,49913,49131,49706,50548,49902,171,6,0,0,0,0,0,0,0,0,0,37483,687649,346323,424170,668960,221300,2385885,0
2130322,13133,9039,4094,1830,1721,1726,1913,1849,2156,1938,0,2036,3475,2761,3731,1130,5023,7982,58,1868,2599,2508,3169,2805,125907951,86975628,38932323,14631153,18076179,15225610,20016392,19026294,21096516,17835807,0,16108836,31787464,28759107,37779263,11473281,48660450,66341951,262999,14942663,22336952,24026762,31152039,22280986,3,267658,130283,137374,35434,34410,39751,36567,46689,74804,73696,54889,30569,30763,43998,33741,36920,37420,37324,37134,36840,40092,41927,8,9,0,0,0,0,0,0,0,0,0,7644,122669,58956,68358,107563,46626,411816,0
2130319,7830,5375,2455,926,1139,1216,1077,1017,1211,1244,0,341,1164,1665,3377,1283,4462,3055,5,1415,756,2090,2163,1087,75724010,50599174,25124836,7391130,14598883,8332713,12001921,8274527,11697279,13427557,0,3749190,14606967,16786867,25800055,14780931,35503369,32737598,12999,9405530,6902261,20396009,22830767,8693402,3,805891,391136,414755,145551,85305,124918,122179,122580,205358,210337,161053,92755,96597,141481,103667,111738,110927,110780,110043,110339,124283,127785,34,5,0,0,0,0,0,0,0,0,0,99051,1294136,582513,685280,1197957,420669,4279606,0
2130318,28580,20806,7774,4278,3828,4349,4181,4170,4307,3467,0,3984,5074,6585,10887,2050,10784,17755,431,7790,7427,4777,4403,3709,223365024,161087344,62277680,34258319,28430834,35315991,32625560,30456640,36596856,25680824,0,29458809,39452970,49194995,85990363,19267887,86842426,136111903,2396257,55798379,57939791,39994573,36290933,30534397,7,364333,171251,193081,30916,75208,71427,54570,55926,76286,52301,61494,55245,65491,89790,40012,48296,48718,49565,49437,52672,58954,56690,266,37,1,1,0,0,0,0,0,0,0,92359,562218,339507,414865,634830,276367,2320146,0
2130317,14721,8688,6033,1934,1494,1834,1548,1878,2856,3177,0,231,2428,4020,6098,1944,6199,8281,553,2996,3437,4268,2111,1117,146682220,87760810,58921410,21689669,14947846,17201712,15403321,18518262,28133555,30787855,0,3074841,21376241,36011539,62774384,23445215,66752374,73688759,4458936,27258884,32529762,40750315,21758696,13684539,3,507036,241268,265767,68133,52511,66940,68868,85670,164912,133286,100741,59209,60574,87497,65729,70799,70871,70728,69770,69764,76114,78991,107,9,0,0,0,0,0,0,0,0,0,59304,665209,285237,341299,544849,206053,2101951,0
2130316,1510,845,665,302,90,212,181,60,424,241,0,60,362,423,665,0,966,514,0,60,151,363,484,423,10543794,6016396,4527398,2053789,785273,1253416,1603768,320150,3168273,1359125,0,211419,2950814,2817920,4563641,0,7001007,3316266,0,395657,887962,2703149,3527686,2802820,1,47207,22454,24753,6336,5200,6191,6639,8053,14788,12947,9494,5374,5291,7776,6324,6647,6699,6705,6583,6574,6968,7031,18,1,0,0,0,0,0,0,0,0,0,59304,665209,285237,341299,544849,206053,2101951,0
2130314,20597,14733,5864,3132,2895,2817,2866,3023,3174,2690,0,4398,3198,4022,6501,2478,8051,12201,115,2917,4539,3887,4805,3988,194020672,134652205,59368467,28585324,24847234,24131077,24644782,32443788,32896400,26472067,0,36105598,33745496,39792213,59337916,25039449,75630259,109632301,1011095,19863512,39805550,38586174,44503667,41492562,4,1369696,628715,740982,183970,163121,214587,213415,225355,369249,339455,273036,163512,164548,245303,183842,192609,191762,192755,191058,192650,203886,204978,202,21,1,0,0,0,0,0,0,0,0,52695,355359,181642,217956,337793,152559,1298004,0
