상권코드,분기당매출건수,주중매출건수,주말매출건수,월요일매출건수,화요일매출건수,수요일매출건수,목요일매출건수,금요일매출건수,토요일매출건수,일요일매출건수,시간대0006매출건수,시간대0611매출건수,시간대1114매출건수,시간대1417매출건수,시간대1721매출건수,시간대2124매출건수,남성매출건수,여성매출건수,연령대10매출건수,연령대20매출건수,연령대30매출건수,연령대40매출건수,연령대50매출건수,연령대60이상매출건수,분기당매출금액,주중매출금액,주말매출금액,월요일매출금액,화요일매출금액,수요일매출금액,목요일매출금액,금요일매출금액,토요일매출금액,일요일매출금액,시간대0006매출금액,시간대0611매출금액,시간대1114매출금액,시간대1417매출금액,시간대1721매출금액,시간대2124매출금액,남성매출금액,여성매출금액,연령대10매출금액,연령대20매출금액,연령대30매출금액,연령대40매출금액,연령대50매출금액,연령대60이상매출금액,점포수,총생활인구수,남성생활인구수,여성생활인구수,연령대10생활인구수,연령대20생활인구수,연령대30생활인구수,연령대40생활인구수,연령대50생활인구수,연령대60이상생활인구수,시간대0006생활인구수,시간대0611생활인구수,시간대1114생활인구수,시간대1417생활인구수,시간대1721생활인구수,시간대2124생활인구수,월요일생활인구수,화요일생활인구수,수요일생활인구수,목요일생활인구수,금요일생활인구수,토요일생활인구수,일요일생활인구수,총직장인구수,집객시설수,관공서수,은행수,대학교수,백화점수,슈퍼마켓수,의료시설수,교육시설수,여가시설수,교통시설수,시간대0006유동인구수,시간대0611유동인구수,시간대1114유동인구수,시간대1417유동인구수,시간대1721유동인구수,시간대2124유동인구수,총유동인구수,cluster
2130326,63018,45337,17681,7313,8927,9532,9677,9888,11051,6630,0,3219,21814,14769,22889,327,27272,35746,808,8718,15596,19026,11659,7211,596065479,407860605,188204874,72990136,68824506,84785234,89427764,91832965,114629533,73575341,0,27169257,214427338,136693388,215081055,2694441,274844148,321221331,6385262,76004205,145375349,193789188,109851211,64660264,5,147720,68341,79379,29412,13392,23412,27522,20231,33750,36781,32895,17637,17495,24680,18232,21216,21130,21065,21411,21288,20901,20709,935,11,0,0,0,0,0,0,0,0,0,93697,1199645,451428,532729,958578,328561,3564638,3
2130325,233,171,62,34,48,15,22,52,33,29,0,4,111,48,70,0,92,130,0,17,104,52,30,18,3000000,1995822,1004178,740571,345452,160628,288091,461080,430225,573953,0,31531,1199610,876804,892055,0,1062225,1558396,0,193879,1059543,664177,294923,408101,3,235226,103286,131940,42483,24487,31586,37835,34976,63858,46849,44457,31730,33199,48589,30402,33171,33181,33559,32384,34548,33996,34387,89,2,0,0,0,0,0,0,0,0,0,63350,818407,424572,504871,758609,283802,2853611,3
2130324,4302,3024,1278,755,454,576,588,651,818,460,6,249,1746,1042,1214,45,2401,1901,6,483,685,1354,1074,700,49182546,32922814,16259732,8594897,4510946,6637618,5968998,7210355,10108559,6151173,25569,2294786,21774886,9999893,14201459,885953,28448985,20733561,45264,4457486,7707169,14231076,13796239,8945312,13,459772,208444,251329,72778,50427,65855,71189,70730,128794,131738,90775,51528,51448,73557,60725,66246,65632,64805,64810,64266,66298,67717,154,5,0,0,0,0,0,0,0,0,0,45326,599357,325013,383230,559853,192553,2105332,3
2130323,2491,1667,824,505,260,260,261,381,519,305,0,0,138,490,1497,366,1443,941,0,108,338,523,614,801,51079837,37605245,13474592,11622468,6640038,6522398,6531385,6288956,9157072,4317520,0,0,3111130,7873472,30126260,9968975,31298259,16889615,0,1567057,6407365,9624824,14054006,16534624,10,369289,181530,187759,50918,46914,47037,59827,62994,101601,102616,74772,40196,41953,61826,47925,52185,51701,52464,51840,53128,54054,53919,171,6,0,0,0,0,0,0,0,0,0,36953,706452,352812,427903,685947,226860,2436927,3
2130322,2220,1681,539,236,439,415,323,268,313,226,24,14,480,470,1093,139,957,1053,132,504,442,334,348,249,27105017,19780448,7324569,2365608,5244651,4828079,4044882,3297228,4041133,3283436,466289,113910,6548769,5774555,12877684,1323810,11596137,11042988,557574,5195686,4209286,4288070,4992965,3395545,12,212109,103050,109061,26827,25428,32328,29958,37399,60168,58376,42621,23815,23903,35526,27870,30134,29403,29259,29066,29318,31580,33349,8,9,0,0,0,0,0,0,0,0,0,7853,123930,59641,70452,107590,46202,415668,3
2130320,78011,48740,29271,10041,9178,8154,10328,11039,16246,13025,106,3520,16358,20974,35538,1515,35468,42328,387,6383,14167,19996,21677,15187,916820285,562662723,354157562,120389365,90753750,94978938,123368904,133171766,202759150,151398412,5317750,35597897,178381627,235971789,412325326,49225896,432075645,474291451,3251279,67909293,155664716,233417141,267647096,178477572,19,124840,60987,63853,12910,14991,20158,22122,22654,32003,25324,22973,16461,18440,26077,15566,17575,17544,17461,17517,17723,18838,18183,173,12,0,0,0,0,0,0,0,0,0,90578,1431178,528884,622547,1116381,379091,4168659,3
2130319,8072,5376,2696,1044,1033,1106,1127,1066,1306,1390,6,602,1471,1747,3545,701,4282,3728,0,792,2094,1995,1726,1405,70157049,46530240,23626809,9247022,10265679,8924969,8894449,9198121,11455481,12171328,127888,4863671,12783291,15056247,30162980,7162972,36817750,31582569,0,5688387,16059401,18989990,16411895,11250645,5,731436,353713,377723,120134,80130,115257,114166,114227,187521,198720,143026,78399,85147,129722,96425,102902,98342,99387,98667,99520,113627,118992,34,5,0,0,0,0,0,0,0,0,0,104006,1357947,622524,733475,1234352,437056,4489360,3
2130318,152078,98119,53959,18736,17255,19527,19981,22620,28641,25318,8563,8120,41739,27914,46246,19496,83607,68438,4435,39227,36091,30374,24522,17397,2505029557,1554778792,950250765,292286219,285645549,283827003,321088206,371931815,524565964,425684801,212377767,133831374,618414944,389994480,769581521,380829471,1443618294,1058651021,52402327,656345306,610627486,489916269,410391318,282586610,25,381567,179019,202548,29357,82373,75471,58588,57107,78673,60077,63587,57677,65397,87318,47512,50086,50474,50975,51222,55923,63001,59886,266,37,1,1,0,0,0,0,0,0,0,76070,450162,273222,335191,489368,211449,1835462,4
2130316,2458,1683,775,65,389,259,646,324,710,65,647,130,581,259,388,453,1359,1035,0,582,389,130,841,452,56843319,38216878,18626441,808720,8857103,5078762,13864698,9607595,17235442,1390999,19034036,5952180,7983685,3907736,7310830,12654852,34335021,17998874,0,14227004,7744304,2316175,19325176,8721237,2,41063,19791,21273,5432,4223,5302,5949,7084,13074,11533,8163,4617,4501,6729,5520,5892,5751,5734,5723,5684,6117,6161,18,1,0,0,0,0,0,0,0,0,0,61994,702388,295521,362134,557312,206252,2185601,3
2130315,8281,6074,2207,1149,1210,1220,1142,1353,1145,1062,0,1003,2422,1574,2928,354,5186,2688,57,1943,1992,1646,1249,985,117270082,77640412,39629670,16591202,12305250,17519548,13141395,18083017,21078881,18550789,0,8227018,40138032,21204220,41611660,6089152,72463093,25070373,355997,22391888,30349791,23237985,13529721,7668086,8,615949,294453,321495,88721,94332,121922,99174,90938,120863,139357,127736,85488,85959,106920,70490,91569,92299,91426,91370,90550,80337,78399,1372,15,2,0,0,0,0,0,0,0,0,68855,1627894,501112,632169,1460801,364726,4655557,3
2130314,33505,23019,10486,4773,4564,3731,4957,4994,5736,4750,0,7132,8604,6512,9793,1464,15253,17454,265,3759,6945,8112,7310,6316,331355035,211705116,119649919,44296316,45358541,31103973,45775872,45170414,60667015,58982904,0,66072731,83757193,69013699,95486782,17024630,142971555,173926256,1440066,28708121,65172579,89122603,67798298,64656145,9,1262187,580028,682157,165203,139494,197548,193257,206539,360145,335919,253940,141102,142421,217998,170807,178975,177295,174166,173576,176761,190521,190892,202,21,1,0,0,0,0,0,0,0,0,35119,226555,103519,123327,177929,83162,749611,3
2130313,37654,27510,10144,4310,6156,6045,5201,5798,3644,6500,64,2625,11314,8845,13805,1001,16037,19330,460,5411,9362,7776,8142,4217,354737105,258756812,95980293,39529838,56616149,57450105,48317113,56843607,33383563,62596730,2531963,25464230,113584770,79955399,121044384,12156359,146531688,167547510,3668189,47538522,79936550,73063755,75580501,34291681,16,1005440,461317,544124,129842,145818,211261,169613,141820,207087,302866,210272,107906,104222,149792,130382,144550,142114,141533,141113,141654,145775,148700,3469,33,0,1,0,0,0,0,0,0,0,42814,574960,307184,354183,625664,239566,2144371,3
2130312,58421,37828,20593,6495,7636,7209,8022,8466,11068,9525,1441,4993,16778,12660,19948,2601,28338,27612,255,4849,13570,15448,12074,9750,756869590,471290613,285578977,80823030,93635973,83944787,107923064,104963759,150703376,134875601,22095732,57611486,236713005,131120599,258941656,50387112,375486065,323355445,1890711,51717003,171977496,203002455,145380633,124873213,17,330670,158705,171965,56946,38251,65977,58384,45694,65417,66026,62709,45929,47776,66649,41579,46928,46708,47250,47201,47469,48324,46786,619,9,0,0,0,0,0,0,0,0,0,82734,1016617,494866,605682,921519,338368,3459786,3
2130311,87042,56629,30413,8738,11702,11024,12624,12541,16424,13989,730,2331,23903,21210,33163,5705,44258,41762,1507,15666,19198,22003,17164,10486,1038173782,683183676,354990106,121241159,138149674,125308768,143464804,155019271,202692179,152297927,33775375,21650685,238997889,211490345,391872372,140387116,557154819,445848706,16400025,190115677,232157979,227026161,219905619,117398065,29,874348,411780,462568,147333,135019,155051,152428,120792,163723,205645,161387,103740,113468,173337,116772,121896,122300,122189,122267,126214,134924,124558,377,17,0,2,0,0,0,0,0,0,0,94533,1450397,817635,995644,1613087,648871,5620167,0
2130310,240648,158860,81788,30989,31670,32807,28315,35079,41999,39789,5,13422,73362,56803,81253,15803,115807,115944,7623,27988,34538,64345,62258,35000,2655712104,1725235650,930476454,319233552,344080543,350755320,305659469,405506766,450913309,479563145,187160,127591306,856395550,580210913,901602194,189724981,1277566948,1098401702,75682553,256672390,328291757,662792833,719217238,333311884,17,211859,95107,116752,48064,22368,22914,36559,32639,49312,25412,42559,37800,41098,46461,18531,29824,30279,30862,30706,31362,30257,28566,298,30,0,3,0,0,0,0,0,0,0,17411,415944,203793,280706,363368,143706,1424928,4
2130307,3494,1884,1610,435,408,423,109,509,933,677,0,233,1227,1057,977,0,1603,1891,30,199,486,1303,1018,458,30000000,15573596,14426404,3711232,3108677,3360626,940876,4452185,8288475,6137929,0,2018240,10576148,9033684,8371928,0,13271918,16728082,183607,1497152,4197954,11655772,8809712,3655803,3,196676,89861,106817,68595,15531,16786,44939,27024,23803,36772,36228,23955,29739,42054,27928,27325,27575,27815,27329,27693,29831,29110,57,9,0,0,0,0,0,0,0,0,0,47008,1319794,764967,926041,1409485,529551,4996846,3
2130306,23455,22337,1118,4304,4821,4256,4811,4145,947,171,135,36,18660,1166,2916,542,9587,9321,61,4000,6683,4872,2616,670,570037203,534072479,35964724,88188617,117232160,104768715,119385850,104497137,30838033,5126691,12517988,550564,343313888,26147596,109111698,78395469,200779437,171032276,797105,71202692,117728417,106586133,62972407,12524957,10,149667,75406,74261,5544,31329,45931,32210,18529,16124,35176,32961,22792,21356,21770,15612,22305,23599,23415,23558,22104,17810,16877,235,4,0,0,0,0,0,0,0,0,0,43256,274794,128597,142209,227917,91780,908553,3
2130303,54550,42222,12328,6889,8565,8975,8380,9413,8988,3340,9172,3093,10340,6173,15033,10739,30833,19313,154,11071,17827,13303,5591,2204,1211084011,929863688,281220323,155215574,185066002,193929211,170438750,225214151,217601849,63618474,152759790,54922414,140441168,85954404,397091571,379914664,688100575,372803976,1637900,237764009,427039022,244931372,105054850,44477397,17,426825,215586,211238,21939,101165,108163,83008,53137,59411,74478,78995,61610,63236,93769,54739,59799,64287,64806,65848,67493,56924,47670,242,5,0,0,0,0,0,0,0,0,0,132325,1565828,604423,744144,1544932,573589,5165241,3
2130299,327623,218627,108996,42990,39047,39198,41718,55674,62819,46177,3163,59227,89499,55150,92441,28143,147256,166180,4729,75671,71411,64297,61881,35448,3986382852,2623699125,1362683727,507822610,481259289,481836497,520448868,632331861,762721886,599961841,19694637,454551914,1289140668,633321798,1319631585,270042250,1620631291,2041486746,42668933,862512817,967839141,776170747,652634943,360291455,20,42031,17636,24395,6849,6299,7019,8079,6574,7209,3811,6766,8428,9356,10321,3348,5651,5750,5777,5811,6297,6696,6050,1850,11,0,0,0,0,0,0,0,0,0,180178,3951892,3422616,4158076,5492224,1675938,18880924,4
2130296,4656,3715,941,704,812,748,735,716,692,249,0,382,2112,1045,1117,0,2149,2228,60,686,1117,1359,831,321,46102359,36061379,10040980,7071002,7099535,7115321,7659897,7115624,6868834,3172146,0,3133898,21641320,9716783,11610358,0,20640501,21644356,302340,6269921,10427708,13306013,8693804,3285068,3,35790,16837,18953,6731,4049,4471,7265,5704,7570,13845,6948,2903,2741,4195,5158,5091,5085,5087,5060,5049,5197,5221,85,1,0,0,0,0,1,0,0,0,0,32001,604356,297973,382101,571806,219617,2107854,3
2130295,47735,31231,16504,5170,6514,5268,7102,7177,8901,7603,83,3247,11016,10424,20007,2958,21320,26195,246,10490,13319,10349,8462,4652,373841241,229749799,144091442,34553632,46898420,43240507,50637782,54419458,77732467,66358975,3622413,31471727,95466410,75285308,140179063,27816320,171215997,197638677,1890631,72963558,96357743,88780565,70557542,38304638,14,278359,128864,149494,28837,57689,54202,39043,39372,59218,59978,50192,31984,36458,59310,40437,39283,38385,38453,38423,39095,42218,42504,122,18,1,0,0,0,1,0,0,0,0,30957,548268,277133,321377,509734,251594,1939063,3
2130294,5610,3796,1814,597,762,802,811,824,958,856,4,54,2412,1256,1827,57,3205,2392,46,932,1229,1623,1155,611,72167038,47454989,24712049,6971269,9933733,10355042,10360903,9834042,11867939,12844110,109656,485948,32061142,14810058,23976701,723533,40507926,31543435,538247,11613560,14967449,22235713,15209265,7487127,7,290078,136202,153875,47117,51376,44183,40430,38020,68952,59384,59282,41603,42269,53665,33876,41756,41557,41416,41357,42023,41027,40941,102,12,0,2,0,0,0,0,0,0,0,130276,1015397,535363,642568,996299,437177,3757080,3
2130293,15429,11069,4360,2247,1999,2415,2080,2328,2376,1984,215,3040,3869,2560,4564,1181,8364,6591,291,3325,3466,3061,2710,2101,143721913,96911473,46810440,19885730,15003349,21615579,17796976,22609839,26002124,20808316,2600703,25434183,39412502,21249671,42018646,13006208,73567607,55012460,2185754,26712439,28169016,27083738,23899951,20529169,4,55140,26388,28751,5405,13049,9980,7656,7251,11800,7251,10331,8984,9655,12883,6034,7845,7804,7709,7747,7921,8226,7888,154,2,0,0,0,0,0,0,0,0,0,146693,1318068,742164,850486,1273698,594971,4926080,3
2130292,2884,1808,1076,380,409,199,387,433,655,421,0,53,690,748,1393,0,1326,1558,6,250,595,708,867,458,20258634,12491655,7766979,2772542,2571828,1214231,2805898,3127156,4668496,3098483,0,315993,5048858,5003215,9890568,0,9150948,11107686,21162,1645434,4087100,5651602,5907622,2945714,2,117814,54162,63652,24627,13689,18771,20554,14105,26068,21368,22473,16678,18272,25502,13522,16358,15881,16064,16073,16094,18755,18590,0,0,0,0,0,0,0,0,0,0,0,41379,489677,254272,319073,449890,180402,1734693,3
2130291,3243,2242,1001,426,500,371,408,537,445,556,0,0,742,584,1908,9,1305,1911,65,970,942,614,521,103,33566066,23136739,10429327,4559876,4292957,4342078,3885163,6056665,4482952,5946375,0,0,8153097,5659993,19577810,175166,14929077,17331122,654558,9210732,9372583,6336585,5739297,946444,2,22292,10664,11628,1653,6215,4321,2519,2855,4731,5523,4289,2597,2678,4111,3095,3143,3128,3115,3123,3150,3297,3336,0,0,0,0,0,0,0,0,0,0,0,148637,1851731,828512,962737,1641817,652138,6085572,3
2130290,27710,21415,6295,4067,4310,4531,4242,4265,2940,3355,559,3423,6840,3486,10142,3260,14331,12007,418,7589,6495,4279,4950,2605,317576290,231562552,86013738,39591419,45027918,51497407,46418720,49027088,40408166,45605572,13173460,28879677,77238810,35620285,113824529,48839529,161153703,123803967,3398174,81228008,72108913,48902910,52104386,27215277,26,568922,268107,300817,50938,140541,103321,67733,73928,132462,135101,115964,67084,69172,105003,76598,81180,81595,82042,81621,81701,80811,79975,417,30,1,1,0,0,1,0,0,0,0,148637,1851731,828512,962737,1641817,652138,6085572,3
