상권코드,분기당매출건수,주중매출건수,주말매출건수,월요일매출건수,화요일매출건수,수요일매출건수,목요일매출건수,금요일매출건수,토요일매출건수,일요일매출건수,시간대0006매출건수,시간대0611매출건수,시간대1114매출건수,시간대1417매출건수,시간대1721매출건수,시간대2124매출건수,남성매출건수,여성매출건수,연령대10매출건수,연령대20매출건수,연령대30매출건수,연령대40매출건수,연령대50매출건수,연령대60이상매출건수,분기당매출금액,주중매출금액,주말매출금액,월요일매출금액,화요일매출금액,수요일매출금액,목요일매출금액,금요일매출금액,토요일매출금액,일요일매출금액,시간대0006매출금액,시간대0611매출금액,시간대1114매출금액,시간대1417매출금액,시간대1721매출금액,시간대2124매출금액,남성매출금액,여성매출금액,연령대10매출금액,연령대20매출금액,연령대30매출금액,연령대40매출금액,연령대50매출금액,연령대60이상매출금액,점포수,총생활인구수,남성생활인구수,여성생활인구수,연령대10생활인구수,연령대20생활인구수,연령대30생활인구수,연령대40생활인구수,연령대50생활인구수,연령대60이상생활인구수,시간대0006생활인구수,시간대0611생활인구수,시간대1114생활인구수,시간대1417생활인구수,시간대1721생활인구수,시간대2124생활인구수,월요일생활인구수,화요일생활인구수,수요일생활인구수,목요일생활인구수,금요일생활인구수,토요일생활인구수,일요일생활인구수,총직장인구수,집객시설수,관공서수,은행수,대학교수,백화점수,슈퍼마켓수,의료시설수,교육시설수,여가시설수,교통시설수,시간대0006유동인구수,시간대0611유동인구수,시간대1114유동인구수,시간대1417유동인구수,시간대1721유동인구수,시간대2124유동인구수,총유동인구수,분기코드,행정동코드
2110001,19464,13306,6158,2352,2383,2840,2916,2815,3323,2835,0,460,8781,4283,5598,316,10248,6780,118,1298,2486,3772,4446,4910,558085918,337481201,220604717,63510357,51025876,66729599,77111737,79103632,103336018,117268699,0,7257869,217975344,102743589,211211681,17772469,274071208,175855678,1594220,19046437,56950400,93663318,125018363,153654148,13,167429,73349,94081,28524,18267,17572,26132,27019,49916,43329,35402,19046,19838,27849,21965,23879,23496,23288,23188,23411,24819,25349,1066,12,1,0,0,0,0,0,0,0,0,7786,124471,76341,90769,109186,39480,448033,3,11110560
2110002,82908,62348,20560,11583,11847,13146,12114,13658,11383,9177,86,14258,25132,15336,23036,5060,36462,42482,925,11019,14428,17998,19334,15236,1371479460,1072022738,299456722,159339221,167339143,287696259,178832610,278815505,183649618,115807104,3643384,259887813,390822003,209530231,408636013,98960016,572269582,515272799,5017519,101587841,175440511,269685939,288099868,247710703,20,329732,151616,178116,64124,43716,39707,46688,49146,86352,73639,71081,42577,43845,58049,40542,47658,48568,48229,47669,47744,45623,44243,475,18,2,0,0,0,0,0,0,0,0,67926,791178,440039,491655,633549,230423,2654770,3,11110570
2110003,26485,19369,7116,3757,3712,3805,3835,4260,3829,3287,787,4403,6969,4444,6854,2904,13978,10918,103,2718,3489,6577,5878,6130,588855613,424447284,164408329,77590664,83205180,80965047,93031879,89654514,90233690,74174639,53435123,40567435,101036731,62317631,191844172,136422470,333623568,193245146,696066,66986950,85003138,109574342,126030696,138577522,28,362640,164115,198525,70277,40800,38416,59649,55128,98371,117990,76434,36057,35170,49647,47339,51780,51620,51656,51812,50718,52219,52835,485,15,0,1,0,0,0,0,0,0,0,21870,328650,199056,244283,307496,106518,1207873,3,11110550
2110004,11563,7331,4232,1111,1065,1554,1688,1913,1935,2297,0,1429,3572,1499,4517,546,5055,3061,15,448,1129,1561,2110,2853,585031795,333817289,251214506,43241668,64569642,67449395,74317417,84239167,138657608,112556898,0,20390109,146069865,96193677,287600088,34778056,286834567,182713779,153269,18097776,67515232,91337149,123413958,169030961,5,376898,176647,200251,75637,43871,49402,62903,55683,89403,76046,79200,49536,51734,72278,48102,53615,54208,54440,54064,53709,53338,53522,32,8,0,0,0,0,0,0,0,0,0,119727,1132104,633971,731445,920889,330120,3868256,3,11110570
2110005,20196,14487,5709,1912,3105,2843,3114,3513,3122,2587,9,685,7005,3268,6626,1147,8293,8292,186,1717,2201,3590,4637,4253,649483459,444267223,205216236,59630523,98241671,87311370,88918100,110165559,113618581,91597655,479078,10420972,228367582,91958392,237868400,53668475,263773616,230514280,4869733,43806318,55303770,99450350,135503386,155354341,13,162150,71565,90585,30301,16016,19002,25319,27478,44034,39815,33065,19659,19665,27536,22409,23351,23517,23480,23105,23189,22825,22684,1006,15,2,1,0,0,0,0,0,0,0,25030,303098,172322,220562,302839,109775,1133626,3,11110550
2110006,25391,13529,11862,1119,1115,3369,3719,4207,5754,6108,0,1605,7549,9538,6519,180,8126,16911,236,4260,6703,5887,5151,2800,484247187,270189125,214058062,27901693,25179079,66047521,70120491,80940341,104146454,109911608,0,28797526,148723745,164362276,131788363,10575277,168091067,295201734,2739580,63029657,111466171,106765679,105855686,73436025,8,6490,3036,3455,972,879,941,1117,1023,1556,1455,1445,847,840,1114,787,909,909,925,942,909,930,967,27,4,1,0,0,0,0,0,0,0,0,4797,93853,82517,99589,110247,34293,425296,3,11110550
2110007,5001,2872,2129,355,424,626,548,919,1394,735,54,25,1195,887,1612,1228,2560,1901,0,1041,1080,805,1102,431,284106107,139084588,145021519,13280951,19541549,24030867,37277278,44953943,111284581,33736938,15527863,124496,40812837,79315616,75703756,72621539,130027195,117286673,0,55345436,90890638,31753249,51391474,17933069,3,445924,201956,243968,96358,48850,55083,82393,63979,99263,134773,96493,46139,43217,64591,60713,63775,62689,63659,62262,61982,64247,67310,283,11,1,0,0,0,0,0,0,0,0,62212,503025,289097,360370,452285,163764,1830753,3,11110530
2110008,276589,185271,91318,29686,34716,38301,38737,43831,48490,42828,222,19361,93466,88650,69751,5085,86855,184728,5896,100779,78207,40784,33386,12521,4682216444,2918162174,1764054270,447815327,510892847,608055727,613405769,737992504,960685674,803368596,13841490,182124447,1368047969,1323321312,1496623910,297332053,1582694769,2829872315,40525499,1505609524,1287590536,690663138,639179372,248999010,97,1138689,467852,670836,215359,146296,170585,202523,166489,237436,320795,240002,139898,127023,168498,142471,163288,162860,163562,163693,161216,161566,162503,552,11,0,0,1,0,0,0,0,0,0,9421,189553,125348,154527,187064,58203,724116,3,11110515
2110009,25459,13308,12151,1199,2114,2767,2910,4318,6243,5908,22,107,6467,5758,10875,2230,11366,12213,132,2915,5683,5921,6248,2680,1428450484,768095625,660354859,86712674,118987488,165206619,160127829,237061015,335156402,325198457,4639892,2445008,346856080,298438391,633006276,143064837,599181519,632071601,4001526,154690834,296723974,292216502,328806637,154813650,16,141389,64019,77370,18042,15534,18312,26068,24500,38933,45669,28672,14297,14178,19602,18971,19731,19796,20038,20026,20120,20803,20872,950,3,0,0,0,0,0,0,0,0,0,4797,94668,82902,100190,111515,34739,428811,3,11110550
2110010,160746,119489,41257,21656,24858,25631,22679,24665,26951,14306,142,12386,51296,46946,43136,4894,58352,94543,26550,18321,23802,35680,27028,21517,2488725903,1760285936,728439967,296026647,378802634,348840168,364368936,372247551,482838260,245601707,34269405,116525748,878598594,540935531,763824922,110702319,931785155,1112906861,164375929,173099646,339128759,495759684,467844326,404483673,40,195928,84234,111694,35443,18419,22542,27865,35109,56551,60037,41393,18752,18349,28498,28899,28227,28166,27996,27931,27711,27600,28297,6687,36,1,0,0,0,0,0,0,0,0,10323,157153,86769,110006,132816,48051,545118,3,11110560
