상권코드,분기당매출건수,주중매출건수,주말매출건수,월요일매출건수,화요일매출건수,수요일매출건수,목요일매출건수,금요일매출건수,토요일매출건수,일요일매출건수,시간대0006매출건수,시간대0611매출건수,시간대1114매출건수,시간대1417매출건수,시간대1721매출건수,시간대2124매출건수,남성매출건수,여성매출건수,연령대10매출건수,연령대20매출건수,연령대30매출건수,연령대40매출건수,연령대50매출건수,연령대60이상매출건수,분기당매출금액,주중매출금액,주말매출금액,월요일매출금액,화요일매출금액,수요일매출금액,목요일매출금액,금요일매출금액,토요일매출금액,일요일매출금액,시간대0006매출금액,시간대0611매출금액,시간대1114매출금액,시간대1417매출금액,시간대1721매출금액,시간대2124매출금액,남성매출금액,여성매출금액,연령대10매출금액,연령대20매출금액,연령대30매출금액,연령대40매출금액,연령대50매출금액,연령대60이상매출금액,점포수,총생활인구수,남성생활인구수,여성생활인구수,연령대10생활인구수,연령대20생활인구수,연령대30생활인구수,연령대40생활인구수,연령대50생활인구수,연령대60이상생활인구수,시간대0006생활인구수,시간대0611생활인구수,시간대1114생활인구수,시간대1417생활인구수,시간대1721생활인구수,시간대2124생활인구수,월요일생활인구수,화요일생활인구수,수요일생활인구수,목요일생활인구수,금요일생활인구수,토요일생활인구수,일요일생활인구수,총직장인구수,집객시설수,관공서수,은행수,대학교수,백화점수,슈퍼마켓수,의료시설수,교육시설수,여가시설수,교통시설수,시간대0006유동인구수,시간대0611유동인구수,시간대1114유동인구수,시간대1417유동인구수,시간대1721유동인구수,시간대2124유동인구수,총유동인구수,cluster
2130324,6031,3792,2239,649,714,780,886,763,1112,1127,0,18,755,986,3217,1055,3374,2637,56,1435,1149,1434,1333,605,88215165,55280442,32934723,9072019,9458843,11158675,13958041,11632864,15085323,17849400,0,210077,10433814,14536397,48790231,14244646,50164796,37623978,964320,20881519,16481945,21532662,19945358,7982971,3,486493,223362,263130,79013,55345,68549,73520,75217,134850,141612,98548,54302,53514,76496,62020,69410,68984,68816,68359,68891,70865,71171,154,5,0,0,0,0,0,0,0,0,0,44035,588665,317851,359161,545931,184284,2039927,1
2130323,762,455,307,92,98,92,74,99,97,210,6,0,24,92,480,68,347,304,6,44,166,204,168,63,20645771,12511861,8133910,2148104,2148104,2431444,2146260,3637949,2669304,5464606,163489,0,682845,2743673,12246960,2660700,9597934,7919411,109085,1060666,5076780,5409899,4194769,1666146,2,343847,165124,178722,50900,45451,43897,53197,57061,93341,96348,68617,37497,38460,58125,44799,48688,48658,48312,48348,49173,49642,51023,171,6,0,0,0,0,0,0,0,0,0,35105,666091,331085,387094,639959,211662,2270996,1
2130318,5487,4065,1422,889,861,676,756,883,736,686,18,0,1717,1049,1704,999,3352,2055,165,1543,1366,1051,837,446,153263295,110084102,43179193,21876108,22167138,19415821,19893705,26731330,22677612,20501581,1073395,0,32695172,22795799,53340217,43358712,97018690,51411578,2930800,40968013,41114830,28745180,23031799,11639646,6,384799,181045,203753,31220,85574,75364,57924,57752,76964,59499,62507,57358,65910,90546,48977,50582,51084,51661,51945,56315,62462,60750,266,37,1,1,0,0,0,0,0,0,0,73690,433367,264019,311264,469826,202724,1754890,1
2130317,3848,2498,1350,488,464,538,472,536,675,675,0,0,367,601,1799,406,1799,1374,90,418,548,859,817,441,62517623,39140407,23377216,7876716,7396061,8345171,7614837,7907622,11688608,11688608,0,0,5606010,9604145,28809994,6808866,28035459,22793556,1360319,7544668,8848976,14191741,13027504,5855807,2,447769,215692,232078,59757,44605,59827,60894,77844,144840,120008,87266,51094,52431,77785,59184,63322,62202,62054,61669,62856,66452,69214,107,9,0,0,0,0,0,0,0,0,0,61179,675901,286010,341282,541253,200756,2106381,1
2130315,39681,28898,10783,5064,5423,5951,5924,6536,5779,5004,784,2464,13377,6444,13632,2980,20289,17206,913,7550,10568,8106,6886,3470,687519359,470093387,217425972,81385513,74769158,100962231,90458539,122517946,105093451,112332521,8338257,19006649,255745448,96335233,270330043,37763729,334653317,266368496,9609379,103027515,172331529,138325442,110318549,67409403,6,613069,295242,317827,87205,96597,119792,100007,89757,119712,137349,126797,85624,86314,106592,70393,91063,91953,92025,91605,90039,78894,77491,1372,15,2,0,0,0,0,0,0,0,0,68270,1606707,465411,580172,1425471,360978,4507009,0
2130314,8796,5329,3467,777,1149,1002,1144,1257,1872,1595,0,289,1534,1163,4414,1396,5456,3340,100,1104,1470,2444,2079,1599,139610647,84509224,55101423,12355618,19647412,17090679,18444053,16971462,32016818,23084605,0,2022922,22779335,18643986,73467867,22696537,83865662,55744985,1418729,12716233,24468735,43034798,32239015,25733137,3,1253487,575381,678107,163829,143114,194341,192904,208754,350547,326054,250339,143026,143658,219651,170759,177973,176080,175456,175015,176143,186035,186786,202,21,1,0,0,0,0,0,0,0,0,32015,205600,92619,104852,154129,70931,660146,1
2130313,13682,9470,4212,1720,1822,1973,1808,2147,2054,2158,0,241,2933,2383,6142,1983,7499,5799,241,2197,3911,3003,2471,1476,179433844,123083969,56349875,23211430,23715641,25801344,23435821,26919733,27104386,29245489,0,2806736,34731441,28092117,83324990,30478560,96470663,76457956,2366772,26080021,48120271,38721362,36816232,20823959,5,995031,453743,541288,137571,145880,203055,163238,137462,207825,300563,209545,106445,102750,147401,128329,142660,142495,141493,141830,138259,142228,146065,3469,33,0,1,0,0,0,0,0,0,0,40771,570561,298493,336215,602727,232218,2080985,1
2130310,10011,8029,1982,1533,1784,1335,1726,1651,1714,268,0,673,3504,2542,3262,30,4915,4857,426,2214,2152,2237,1940,801,86728201,65715995,21012206,11410930,13685650,12805797,13479471,14334147,15608284,5403922,0,4676778,29406027,20609890,31522632,512874,38301934,41087103,2862101,14909782,14384563,19225526,17507907,10499158,5,212630,96734,115898,49679,22873,21855,36572,32848,48804,23485,40565,38513,41860,48650,19558,29703,30462,31326,31038,31496,29890,28715,298,30,0,3,0,0,0,0,0,0,0,17564,405548,201058,266278,358025,142854,1391327,1
2130307,8084,5597,2487,936,1057,1057,1228,1319,1249,1238,0,0,1349,1249,3281,1148,3856,2980,373,1128,514,2265,2155,403,122815015,87101227,35713788,14912711,16685685,16685685,19311417,19505729,17154450,18559338,0,0,23055703,17734568,47623420,17715639,55127094,43362643,4956473,15777552,7032493,33174641,29013942,8534637,2,197784,89690,108094,70074,15981,16707,44777,26727,23518,37533,37272,24888,29582,41205,27305,27738,28097,28018,27968,27725,29161,29077,57,9,0,0,0,0,0,0,0,0,0,47890,1330410,779176,892432,1419528,571669,5041105,1
2130303,241,199,42,21,72,23,28,55,10,32,21,0,21,22,95,82,98,109,0,16,38,32,60,60,8745953,7554203,1191750,433363,3785912,660989,1209806,1464133,270852,920898,619404,0,806975,930199,4300804,2088571,2734238,4958946,0,449669,1041823,2466669,1359733,2375291,1,414561,209284,205277,23514,98349,104666,79710,50753,57570,72709,76770,60197,62002,89756,53125,59024,62913,64203,64888,64457,53710,45368,242,5,0,0,0,0,0,0,0,0,0,126413,1572231,579758,704601,1502829,565506,5051338,1
