상권코드,분기당매출건수,주중매출건수,주말매출건수,월요일매출건수,화요일매출건수,수요일매출건수,목요일매출건수,금요일매출건수,토요일매출건수,일요일매출건수,시간대0006매출건수,시간대0611매출건수,시간대1114매출건수,시간대1417매출건수,시간대1721매출건수,시간대2124매출건수,남성매출건수,여성매출건수,연령대10매출건수,연령대20매출건수,연령대30매출건수,연령대40매출건수,연령대50매출건수,연령대60이상매출건수,분기당매출금액,주중매출금액,주말매출금액,월요일매출금액,화요일매출금액,수요일매출금액,목요일매출금액,금요일매출금액,토요일매출금액,일요일매출금액,시간대0006매출금액,시간대0611매출금액,시간대1114매출금액,시간대1417매출금액,시간대1721매출금액,시간대2124매출금액,남성매출금액,여성매출금액,연령대10매출금액,연령대20매출금액,연령대30매출금액,연령대40매출금액,연령대50매출금액,연령대60이상매출금액,점포수,총생활인구수,남성생활인구수,여성생활인구수,연령대10생활인구수,연령대20생활인구수,연령대30생활인구수,연령대40생활인구수,연령대50생활인구수,연령대60이상생활인구수,시간대0006생활인구수,시간대0611생활인구수,시간대1114생활인구수,시간대1417생활인구수,시간대1721생활인구수,시간대2124생활인구수,월요일생활인구수,화요일생활인구수,수요일생활인구수,목요일생활인구수,금요일생활인구수,토요일생활인구수,일요일생활인구수,총직장인구수,집객시설수,관공서수,은행수,대학교수,백화점수,슈퍼마켓수,의료시설수,교육시설수,여가시설수,교통시설수,시간대0006유동인구수,시간대0611유동인구수,시간대1114유동인구수,시간대1417유동인구수,시간대1721유동인구수,시간대2124유동인구수,총유동인구수,분기코드,행정동코드
2110492,4751,2346,2405,567,390,469,408,512,1235,1170,1,148,1227,2225,1128,22,2004,2694,12,1188,1434,792,875,396,79550627,36182981,43367646,8468632,6138106,7435371,6496658,7644214,22866230,20501416,158490,2169206,20890608,36870249,18596555,865519,32997111,45178995,108530,19507583,24713142,12439045,14456036,6951771,6,4536,1937,2598,944,653,838,828,475,799,725,897,690,768,975,482,626,622,624,627,630,695,713,247,4,0,0,0,0,0,0,0,0,0,2830,47836,51793,62057,55529,16034,236079,2,11380690
2110493,3021,2258,763,368,529,450,374,537,466,297,78,9,1055,328,895,638,1527,1158,0,483,193,535,893,585,92103575,70750465,21353110,11292188,19325527,13585500,11417883,15129367,14390225,6962885,3383715,520788,29787961,7698451,29279708,20109295,47752320,31028742,0,11651228,3392303,14976850,31892578,16868105,21,414971,190655,224316,75393,48002,53388,69489,66218,102480,111882,79067,41847,41981,75711,64485,59334,57479,58565,58536,59452,60646,60958,892,2,0,0,0,0,0,0,0,0,0,126333,2339579,728734,874044,2109018,624760,6802468,2,11410710
2110495,178517,126572,51939,23783,25828,26598,24211,26152,30083,21856,2126,9265,45058,31498,70897,19192,89078,85584,1410,22935,32648,40774,42317,34583,4129563517,2781102311,1348409489,515866381,552665979,547572434,537881760,627115757,779041208,569368281,58818059,125802874,974644879,572342575,1821410035,570111070,2188988180,1790312367,29110676,461899670,695754145,935889828,1036131130,820566814,54,1221521,554310,667211,176063,152269,176547,204734,186178,325729,360960,247631,123983,122741,194990,171217,173486,167433,170147,169393,170063,181930,189069,501,22,1,0,0,0,0,0,0,0,0,46844,399202,217122,268245,382164,159439,1473016,2,11410720
2110496,131493,88482,42822,15012,18522,18239,16725,19984,22913,19909,3124,19076,31492,26367,39149,12096,66400,60960,1603,15064,26091,36065,30838,17889,1882197359,1220683897,659040561,208795180,244430991,253024086,225216807,289216833,347722459,311318102,82727888,152343476,348553154,271324415,703558572,321216953,1013601767,727195357,11097487,167576156,304885986,467582086,471403585,320724723,50,971239,427970,543271,156827,113355,134843,156587,147092,262536,224326,174972,112288,129021,199882,130752,136941,132915,134275,134330,135291,147797,149690,611,22,1,2,0,0,0,0,0,0,0,44955,401034,219997,270454,383740,162369,1482549,2,11410720
2110497,22577,16023,6554,2920,3477,3651,2781,3194,3949,2605,130,3606,5393,5768,5498,1130,10324,10496,257,2699,5716,5652,4513,1979,497593694,313109007,184484687,52316933,64329922,68666085,63048583,64747484,118223366,66261321,19402078,37605181,113054130,96812909,179375808,45455015,263239002,200309650,1855662,43645307,88725516,138838367,122050332,68433468,22,113414,52002,61412,24214,13988,16587,19315,14935,24375,14097,21928,18058,20645,26905,11780,15909,15655,15547,15594,16127,17592,16988,299,26,0,2,0,0,0,0,0,0,0,90258,870983,430739,519815,793364,300083,3005242,2,11410690
2110498,54971,35349,19613,7052,6791,6563,6493,8450,10395,9218,1107,3633,8648,10334,22522,8674,30207,23762,185,9700,12974,11336,11132,8639,1808178673,1136846648,671240513,229551624,198578245,221720462,191516148,295480169,359594756,311645757,55318927,21588320,131831503,165739424,920638404,510844997,1052067918,683562565,1086190,248978783,415772417,395562129,405940441,268290527,32,1732868,804358,928510,180697,212639,265679,299743,282671,491440,454769,332958,190595,199199,311152,244197,245317,244688,243104,243081,243506,256190,256980,222,5,0,0,0,0,0,0,0,0,0,49502,430303,249065,302447,397835,160028,1589180,2,11410720
2110499,17110,13242,3868,2471,2509,2909,2604,2749,2112,1756,183,521,5484,2331,6440,1114,9928,5910,139,1936,2969,3159,4628,3005,307561196,234549695,73011501,45465752,39012108,45792789,51555005,52724041,43819464,29192037,4800451,6638003,81401725,31138486,134524610,40471771,187949774,101503002,1600577,24450796,42106218,78339674,98334732,44620782,19,2316553,1053752,1262801,442474,442691,315799,312174,313447,489969,670216,511867,266985,245415,329804,292268,337143,334012,327958,329849,321402,323244,342947,282,15,0,0,0,0,0,0,0,0,0,25907,263692,133911,165659,234999,101144,925312,2,11410720
2110500,10951,8052,2899,1097,1854,1700,1567,1834,1755,1144,0,1911,3073,3102,2573,292,5182,5498,77,2133,3243,3268,1397,561,151667088,100989351,50677737,13384141,23384802,22517629,20128275,21574504,26580869,24096868,0,13437680,34882842,28724579,60199322,14422665,76429117,68060153,414865,16127393,39516806,51377616,26264834,10787759,11,53575,23757,29819,11209,4057,8886,10213,7359,11851,8671,9238,8059,9388,12564,5655,7439,6715,7358,7359,7478,8659,8570,74,7,0,0,0,0,0,0,0,0,0,25536,320046,176969,214814,311226,135865,1184456,2,11410700
2110501,8423,4615,3808,963,867,925,835,1025,2157,1651,0,341,2890,3678,1344,29,3520,4402,29,1897,2668,1779,1113,436,106009676,55068973,50940703,11467166,9188270,12001994,10429803,11981740,28403790,22536913,0,3723582,36454763,44487434,20927318,213919,39382096,63160107,488999,28403533,30933274,23337145,14865211,4514042,6,228702,105787,122915,21876,40184,48455,39381,30544,48261,38301,48428,32894,33852,47277,27948,32700,30926,31831,31617,33178,34185,34266,214,7,0,0,0,0,0,0,0,0,0,73755,534213,301772,374302,558880,237540,2080462,2,11410615
2110502,168138,124224,43914,22001,24658,25837,25926,25884,24977,18937,2864,18107,49329,29840,53646,14352,80586,80926,714,17607,33243,42502,36070,31378,3351005152,2211832081,1139173071,339411843,429793091,470646555,458456864,520326472,652859040,486314031,99572998,270987516,792873978,463995092,1266341430,457234138,1707438071,1381948044,8238501,252851942,562931183,780628658,808259601,676476226,73,1298495,588275,710220,173690,198936,205324,210886,196516,313142,370083,255505,135847,140722,216791,179548,184947,184063,182456,181218,182261,191239,192313,290,23,1,1,0,0,0,0,0,0,0,57449,602087,361767,425037,563204,252184,2261728,2,11410700
2110503,162550,125200,37330,25426,27521,24084,25593,22576,19583,17747,4865,13487,57761,31593,43368,11428,78092,82062,12119,52780,22483,30890,31765,10119,2362025740,1751430620,610413907,319326304,356277931,327252226,389215167,359358992,324017368,286396539,105218407,209443967,682900103,418214274,683139199,262949773,1073966875,952593194,98234428,585169345,311350332,458459304,427121530,146225131,121,2008181,920742,1087438,460717,594027,229279,210738,226185,287237,526429,436823,263677,245989,295109,240156,296430,303109,291665,298900,283171,262322,272584,230,29,0,1,2,0,0,0,0,0,0,56885,637123,364122,493983,544343,241280,2337736,2,11410700
2110504,81772,61977,19795,11862,12516,13876,11862,11861,9849,9946,49,18969,20377,19405,16932,6040,31341,48078,3420,14700,12637,26101,15792,6769,763837133,563570063,200267070,102669658,107793813,131934886,102141815,119029891,99300047,100967023,195030,173974601,179840551,180891873,168352438,60582640,275952919,433436296,19402367,104583817,111673317,261504420,137253344,74971951,2,135983,68568,67415,37083,21324,16750,19432,16348,25046,33610,32171,19037,15252,19719,16196,19565,20700,19455,20042,19388,18289,18545,139,1,0,0,0,0,0,0,0,0,0,31743,488335,230606,322617,332417,128347,1534065,2,11410685
2110505,5674,4045,1629,800,668,835,867,875,984,645,5,62,1486,563,2880,663,3933,1350,5,401,866,979,1560,1472,250641658,158777945,91863713,27625889,23125949,30866304,40266901,36892902,46561402,45302311,755260,639093,23795917,9654042,168832253,46665614,144616010,76483296,183420,24895082,49193821,57365494,54426721,35034770,4,40668,18616,22051,4580,5631,7112,7132,6895,9317,7418,8795,5281,5861,8178,5134,5641,5490,5632,5560,5521,6193,6629,14,1,0,0,0,0,0,0,0,0,0,29311,388928,205591,231286,315012,133280,1303408,2,11410615
2110506,5257,4602,551,819,898,1592,639,654,283,268,119,0,2883,709,1072,142,1971,2578,8,449,883,978,2065,237,174916029,156597983,14626089,35062435,20064285,47742380,18174015,35554868,7404890,7221199,5102054,0,99282052,5078293,47348555,8508505,103169141,41133152,118256,9401947,9411463,84178074,38629903,5399219,4,312666,143444,169222,29904,74647,64426,48064,36154,59468,64472,64924,42712,43851,59575,37129,43024,43224,43990,44067,45218,47014,46128,110,2,0,0,0,0,0,0,0,0,0,94494,637277,459721,550584,823814,370025,2935915,2,11410615
2110507,444557,321897,122660,64821,68726,64197,64024,60129,68315,54658,8378,29605,115389,89816,148269,53100,212497,229209,19994,138405,76987,91669,82893,31753,6262686356,4372612214,1890074142,810843687,896095442,867778493,887953552,909941040,1086633674,815564312,393263971,222030405,1141507266,848750032,2273347099,1383787583,3312233467,2818920707,200518938,1799265914,1056806417,1350352021,1215935570,508275316,206,1519320,683924,835397,252446,353491,203776,209679,205174,294755,382156,297899,184503,189452,267267,198045,220395,220965,219819,219659,211501,215174,211806,1537,15,2,1,0,0,0,0,0,0,0,76183,767660,450464,568205,699596,314686,2876794,2,11410685
2110508,141041,85734,55307,14772,16994,15389,18362,20371,29300,26007,748,12547,42611,47337,33853,3945,52964,78902,867,44825,40688,20453,15717,9322,2420105145,1472737060,947368085,204400277,267738217,345816065,323272585,333124494,513060121,434307964,38236627,142482445,571907993,686365663,740324698,240787719,914032388,1163773841,11685243,657229276,603773185,355923940,266645578,182549004,47,512417,223200,289216,54779,115890,99734,87278,64359,90377,129117,103240,64287,64178,87916,63678,71352,71392,72322,72149,72206,76994,76001,1028,10,0,0,0,0,0,0,0,0,0,66271,563008,385518,444718,619046,233789,2312350,2,11410615
2110509,158438,108475,49963,20745,21393,21146,21679,23512,27844,22119,5378,20124,46888,35627,40487,9934,74660,79768,4445,62098,36176,22272,17459,11971,2198402232,1555719372,642682860,224415020,437683275,233422372,258490595,401708110,430321457,212361403,43629631,135639277,631811745,306829647,456014639,624477293,873939889,1203369639,29675091,413517269,336998708,254411407,260422708,782284342,61,1167218,497428,669791,113546,419023,231971,145263,110221,147193,326591,241787,128279,133188,184356,153020,162779,161025,161675,163227,163307,177315,177892,691,16,0,0,0,0,0,0,0,0,0,423856,3670738,3036212,3750378,6210552,3030697,20122433,2,11410585
2110510,17169,11462,5707,2349,1761,2442,2433,2477,3148,2559,60,1013,5629,3761,5680,1026,7756,9112,73,2409,5027,3257,3440,2670,315692811,215676263,100016548,37746245,42759168,41258739,52414548,41497563,59160386,40856162,2992700,7513211,79923865,55030173,137878910,32353952,175469099,130698484,2416760,43121006,75745385,54923412,68426063,61576457,25,780719,359169,421549,104787,103929,119809,132932,124877,194386,246352,171295,80384,77191,107219,98278,109392,109026,108918,108728,107144,116273,121235,99,6,0,0,0,0,0,0,0,0,0,28183,315738,167283,188182,242215,104549,1046150,2,11410615
