상권코드,분기당매출건수,주중매출건수,주말매출건수,월요일매출건수,화요일매출건수,수요일매출건수,목요일매출건수,금요일매출건수,토요일매출건수,일요일매출건수,시간대0006매출건수,시간대0611매출건수,시간대1114매출건수,시간대1417매출건수,시간대1721매출건수,시간대2124매출건수,남성매출건수,여성매출건수,연령대10매출건수,연령대20매출건수,연령대30매출건수,연령대40매출건수,연령대50매출건수,연령대60이상매출건수,분기당매출금액,주중매출금액,주말매출금액,월요일매출금액,화요일매출금액,수요일매출금액,목요일매출금액,금요일매출금액,토요일매출금액,일요일매출금액,시간대0006매출금액,시간대0611매출금액,시간대1114매출금액,시간대1417매출금액,시간대1721매출금액,시간대2124매출금액,남성매출금액,여성매출금액,연령대10매출금액,연령대20매출금액,연령대30매출금액,연령대40매출금액,연령대50매출금액,연령대60이상매출금액,점포수,총생활인구수,남성생활인구수,여성생활인구수,연령대10생활인구수,연령대20생활인구수,연령대30생활인구수,연령대40생활인구수,연령대50생활인구수,연령대60이상생활인구수,시간대0006생활인구수,시간대0611생활인구수,시간대1114생활인구수,시간대1417생활인구수,시간대1721생활인구수,시간대2124생활인구수,월요일생활인구수,화요일생활인구수,수요일생활인구수,목요일생활인구수,금요일생활인구수,토요일생활인구수,일요일생활인구수,총직장인구수,집객시설수,관공서수,은행수,대학교수,백화점수,슈퍼마켓수,의료시설수,교육시설수,여가시설수,교통시설수,시간대0006유동인구수,시간대0611유동인구수,시간대1114유동인구수,시간대1417유동인구수,시간대1721유동인구수,시간대2124유동인구수,총유동인구수,분기코드,행정동코드
2110001,38151,23817,14334,4017,4297,5266,4869,5368,8022,6312,43,7732,16571,6657,6912,236,20933,13816,115,1615,3885,7482,12028,9632,1016907125,576819680,440087445,104253739,84027066,174743936,101093718,112701221,270817983,169269462,1853192,118036403,465711011,173086813,243435404,14784302,462861750,299618322,1514058,26012009,76852365,151709983,260999150,245392504,16,179890,77520,102371,32520,19380,18694,27893,28419,52986,46661,38082,20225,21164,29951,23808,25766,24959,24786,25388,24645,26979,27365,1066,12,1,0,0,0,0,0,0,0,0,7755,132418,84602,107861,117534,41993,492163,4,11110560
2110002,80868,58816,22052,11366,11159,12959,11890,11442,12638,9414,82,13784,24711,14704,22530,5057,34819,41375,766,9637,13978,15959,20720,15136,1517636127,1170393690,347242437,188896238,226845757,247806895,232840389,274004411,210087647,137154790,2904760,308361768,451408144,233681101,427769017,93511337,583472983,526906013,3892115,100090049,170850887,239023716,335380487,261141744,20,323459,147471,175987,62362,40528,38874,46297,47490,87908,71566,70387,42369,43197,56712,39227,46097,47190,47695,47219,46988,45170,43100,475,18,2,0,0,0,0,0,0,0,0,65876,838785,473908,530777,650568,229472,2789386,4,11110570
2110003,32921,24199,8722,4815,5000,4667,4538,5179,5165,3557,970,3612,9648,5680,8617,3920,16942,13436,420,3312,4877,7681,7167,6924,769475354,540276851,229198503,92807344,111882241,110182068,101863253,123541945,147207337,81991166,63238744,32021562,148499568,77016870,240961014,198489322,407747675,258214463,10548008,74374737,109180063,148738738,147771162,175349428,32,331722,150283,181439,68467,38333,32990,52919,50870,88143,107916,70774,33285,31692,44469,43586,47280,47473,47342,47084,47241,47353,47947,485,15,0,1,0,0,0,0,0,0,0,22092,389972,258892,312799,359134,120506,1463395,4,11110550
2110004,10795,7096,3699,1330,1193,1329,1673,1571,1974,1725,0,1360,2812,1549,4482,592,4474,2772,22,380,946,1256,1920,2726,639004476,332559086,306445390,56209951,64056422,54217611,71092724,86982378,199936577,106508813,0,17592836,196955593,93572033,289635160,41248854,321285608,148520033,470320,22387269,58210608,88386811,125214447,175136186,4,379929,175890,204039,75217,43815,49331,62993,56587,91985,76774,79914,50029,52115,72836,48263,53705,54390,54430,54063,54298,54849,54194,32,8,0,0,0,0,0,0,0,0,0,116766,1187929,676033,790621,939417,331369,4042135,4,11110570
2110005,23825,15868,7957,1610,3267,3848,3278,3865,4430,3527,86,1139,9168,3906,7385,1117,10267,10187,174,2162,3290,4723,5697,4410,801062738,506349619,294713119,45540904,114975439,118440920,92698791,134693565,166127061,128586058,7726109,26304685,259080793,141075729,299219207,51568781,344399650,302966098,2577787,73604196,96522381,136103886,165294131,173263359,14,149283,66080,83204,29582,14825,16292,22615,25110,40859,39499,31159,17216,17050,24093,20267,21463,21513,20945,21458,21066,21321,21519,1006,15,2,1,0,0,0,0,0,0,0,25470,339403,199256,261473,332724,118109,1276435,4,11110550
2110006,32855,17073,15771,2372,2502,3551,3635,5013,7963,7808,0,2389,9826,13132,7392,116,10216,21969,283,5839,8340,7131,7324,3271,612516172,310386180,301168440,42734075,40141620,63215613,71043609,93251263,151775920,149392520,0,42139088,190453998,229651882,146421238,3849966,199786887,384913399,3722550,92718473,141605539,128720144,143896281,74037301,8,7406,3020,4386,975,708,875,1188,1121,2539,1344,1431,1022,1142,1423,1043,945,1053,1021,1070,1017,1164,1134,27,4,1,0,0,0,0,0,0,0,0,5302,101375,97155,121307,116010,33774,474923,4,11110550
2110007,4568,2367,2201,450,350,290,477,800,1401,800,6,6,1538,914,1632,472,2034,1836,0,662,1150,911,737,412,267554305,166473790,101080515,23602966,17116743,15724589,54802526,55226966,60602692,40477823,528156,20436,51385107,40773992,134546465,40300149,89019717,86103708,0,30511078,52447121,45675944,32077150,14412131,3,449473,200776,248698,98235,49771,54988,80818,65341,100319,136609,97606,46245,43347,64963,60704,64372,63156,61917,62725,63154,65430,68720,283,11,1,0,0,0,0,0,0,0,0,60742,523161,306942,393735,457582,165231,1907393,4,11110530
2110008,256631,170039,86581,29224,32241,36030,35740,37865,48962,37619,487,18498,92657,85121,54032,5836,76520,174355,8660,92281,64419,37957,35093,12457,4818494125,2943066211,1875260176,460248931,507765322,635419026,623738459,738858310,1092540770,782719406,39686601,184548271,1441955044,1372780361,1358072317,421451531,1637583698,2888381677,59458447,1539407053,1265829775,708518838,652902869,299848384,97,1174445,475499,698946,231807,154384,172493,207552,167767,240441,322803,247222,151750,136357,171859,144453,167133,170350,166629,169560,166086,167639,167048,552,11,0,0,1,0,0,0,0,0,0,9722,189374,126694,164597,185045,59178,734610,4,11110515
2110009,29746,14825,14921,1739,2343,3152,3191,4400,8212,6709,23,43,7644,8221,10572,2119,11902,14657,225,3880,6533,6754,6237,2928,1631001833,810989864,820011969,83697750,137011492,175729544,164662081,249888997,455994466,364017503,4244561,1047974,379394776,408739386,626747415,166335590,638200502,718694815,3587911,166018160,338560900,355250559,324063294,169414490,23,166257,74396,91860,22572,19003,22674,30628,26969,44411,45617,31219,19372,19542,26977,23530,22594,23335,23247,23587,23765,25197,24530,950,3,0,0,0,0,0,0,0,0,0,5302,102635,97662,121961,117248,34214,479022,4,11110550
2110010,159691,116202,43489,21813,25887,22060,23149,23293,28745,14744,171,13432,56096,42579,41101,4080,58813,91903,22167,17651,23736,38865,28240,20051,2874414697,1921249995,953164702,334980354,404488521,360793368,414680503,406307249,682204718,270959984,37011157,194431046,964939241,651308876,826604799,151999190,1147252344,1206050823,149879473,177294972,406438572,629928541,559680213,430081390,40,164266,70695,93571,27713,13812,19300,24871,29577,48991,51288,35659,16226,15797,23297,22000,23274,23436,23016,23198,22345,24289,24708,6687,36,1,0,0,0,0,0,0,0,0,10652,163617,90360,112050,134672,47631,558982,4,11110560
