상권코드,분기당매출건수,주중매출건수,주말매출건수,월요일매출건수,화요일매출건수,수요일매출건수,목요일매출건수,금요일매출건수,토요일매출건수,일요일매출건수,시간대0006매출건수,시간대0611매출건수,시간대1114매출건수,시간대1417매출건수,시간대1721매출건수,시간대2124매출건수,남성매출건수,여성매출건수,연령대10매출건수,연령대20매출건수,연령대30매출건수,연령대40매출건수,연령대50매출건수,연령대60이상매출건수,분기당매출금액,주중매출금액,주말매출금액,월요일매출금액,화요일매출금액,수요일매출금액,목요일매출금액,금요일매출금액,토요일매출금액,일요일매출금액,시간대0006매출금액,시간대0611매출금액,시간대1114매출금액,시간대1417매출금액,시간대1721매출금액,시간대2124매출금액,남성매출금액,여성매출금액,연령대10매출금액,연령대20매출금액,연령대30매출금액,연령대40매출금액,연령대50매출금액,연령대60이상매출금액,점포수,총생활인구수,남성생활인구수,여성생활인구수,연령대10생활인구수,연령대20생활인구수,연령대30생활인구수,연령대40생활인구수,연령대50생활인구수,연령대60이상생활인구수,시간대0006생활인구수,시간대0611생활인구수,시간대1114생활인구수,시간대1417생활인구수,시간대1721생활인구수,시간대2124생활인구수,월요일생활인구수,화요일생활인구수,수요일생활인구수,목요일생활인구수,금요일생활인구수,토요일생활인구수,일요일생활인구수,총직장인구수,집객시설수,관공서수,은행수,대학교수,백화점수,슈퍼마켓수,의료시설수,교육시설수,여가시설수,교통시설수,시간대0006유동인구수,시간대0611유동인구수,시간대1114유동인구수,시간대1417유동인구수,시간대1721유동인구수,시간대2124유동인구수,총유동인구수,cluster
2130324,11779,8152,3627,1615,1562,1521,1608,1846,1949,1678,0,2322,3576,3275,2403,203,4860,6919,54,2563,3009,2866,2669,618,51965291,34670427,17294864,7023843,6066468,6771871,7174213,7634032,9375769,7919095,0,8486901,16356068,14010529,11459465,1652328,21951885,30013406,265998,10212870,13043152,14424060,11176995,2842216,3,486493,223362,263130,79013,55345,68549,73520,75217,134850,141612,98548,54302,53514,76496,62020,69410,68984,68816,68359,68891,70865,71171,154,5,0,0,0,0,0,0,0,0,0,44035,588665,317851,359161,545931,184284,2039927,1
2130323,1300,911,389,129,183,176,178,245,216,173,8,24,393,498,291,86,614,667,8,198,410,251,309,104,8978720,5934314,3044406,941784,987085,1317830,1160159,1527456,1698203,1346203,84865,148143,2401033,3379179,2210256,755244,3962393,4672372,47321,1198192,2281693,2027590,2206682,873286,4,343847,165124,178722,50900,45451,43897,53197,57061,93341,96348,68617,37497,38460,58125,44799,48688,48658,48312,48348,49173,49642,51023,171,6,0,0,0,0,0,0,0,0,0,35105,666091,331085,387094,639959,211662,2270996,1
2130322,2485,2068,417,341,471,389,417,450,376,41,0,498,595,772,620,0,939,1546,0,648,780,512,297,248,15910645,12538536,3372109,1921651,2480938,2629808,2614784,2891355,3062077,310032,0,3088710,3824182,5229569,3768184,0,7057525,8853120,0,3618950,4086204,4165262,1942138,2098091,3,254824,125456,129369,32889,32452,40365,35291,44157,69671,73172,52250,28375,28067,40849,32112,35995,35377,35096,35142,34931,37960,40325,8,9,0,0,0,0,0,0,0,0,0,8051,107533,52868,62307,94443,39790,364992,1
2130321,4082,2517,1565,58,694,578,608,579,768,797,0,14,1593,1578,897,0,848,3132,43,1450,1535,350,501,102,71420438,46679051,24741387,513847,14354435,9053845,13852166,8904758,13847824,10893563,0,130271,30770048,26628871,13891248,0,15059929,47002698,396604,20493619,23079882,6456935,9881371,1754217,8,177457,81863,95594,34362,21289,25577,30951,27386,37892,34269,37694,26913,26349,32649,19583,25743,25996,26122,25971,25655,23879,24094,433,7,1,0,0,0,0,0,0,0,0,10806,188857,83200,96401,167529,59048,605841,1
2130318,104753,67108,37645,12173,11986,12483,12764,17702,20192,17453,432,7034,22940,25785,36200,12362,49296,55457,4023,41633,26789,15059,12174,5075,758057537,485632998,272424539,85955657,88630733,93695588,93857446,123493574,150419381,122005158,11924945,31526380,141356819,175713514,280751250,116784629,335419924,422637613,33052721,325514159,196256561,96925108,76675298,29633690,24,384799,181045,203753,31220,85574,75364,57924,57752,76964,59499,62507,57358,65910,90546,48977,50582,51084,51661,51945,56315,62462,60750,266,37,1,1,0,0,0,0,0,0,0,73690,433367,264019,311264,469826,202724,1754890,1
2130315,27710,19709,8001,3826,3789,3632,4067,4395,4210,3791,953,4177,6291,5619,6741,3929,13477,13380,348,8806,7838,5203,3307,1354,222486800,152713179,69773621,29796837,28099871,27039711,32370619,35406141,36849500,32924121,9084426,26118346,50061665,45041095,55059701,37121567,103150312,105997864,3165075,62453251,62068754,40015429,28381393,13064273,11,613069,295242,317827,87205,96597,119792,100007,89757,119712,137349,126797,85624,86314,106592,70393,91063,91953,92025,91605,90039,78894,77491,1372,15,2,0,0,0,0,0,0,0,0,68270,1606707,465411,580172,1425471,360978,4507009,1
2130314,12177,8641,3536,1736,1413,1779,1794,1919,1817,1719,0,996,3391,3026,4383,381,4325,7647,427,3853,2871,2004,1746,1070,115287271,80503624,34783647,19254067,12387307,17479601,15701401,15681248,17665706,17117941,0,11890684,33550161,26812579,39782027,3251820,36470972,74022034,2366226,33303428,27734357,21361927,16042301,9684767,5,1253487,575381,678107,163829,143114,194341,192904,208754,350547,326054,250339,143026,143658,219651,170759,177973,176080,175456,175015,176143,186035,186786,202,21,1,0,0,0,0,0,0,0,0,32015,205600,92619,104852,154129,70931,660146,1
2130313,133083,95806,37277,17753,19586,18651,19177,20639,19398,17879,0,31924,35096,29417,28559,8087,70917,60731,3095,35258,41796,23176,18447,9874,600386533,422687337,177699196,76839788,83029566,85243675,83329964,94244344,93685105,84014091,0,119221210,166181588,135799838,139192266,39991631,290800995,293870378,10838558,151486717,180146567,113515338,84478004,44206187,14,995031,453743,541288,137571,145880,203055,163238,137462,207825,300563,209545,106445,102750,147401,128329,142660,142495,141493,141830,138259,142228,146065,3469,33,0,1,0,0,0,0,0,0,0,40771,570561,298493,336215,602727,232218,2080985,1
2130311,84194,58270,25924,10344,10620,11284,11859,14163,13379,12545,0,16382,20512,22151,20946,4203,40653,43541,3509,23487,21581,19061,12729,3827,377759219,253299872,124459347,44368307,45433630,49190094,50878932,63428909,63843650,60615697,0,61174855,93572178,104885978,97425258,20700950,184457446,193301773,15754427,107461088,94056118,88783208,54046361,17658017,15,842789,399472,443317,144467,128668,147168,145400,117548,159538,199097,156427,101088,110730,165038,110410,118049,119364,120137,119422,121086,126108,118624,377,17,0,2,0,0,0,0,0,0,0,93629,1382331,778156,949073,1554633,640413,5398235,1
2130310,94599,65318,29281,12519,11893,12929,12725,15252,15357,13924,0,20452,26727,22846,21162,3412,45273,45782,4129,19421,18194,22614,18669,8027,453460044,306588219,146871825,56963301,54060403,61649496,57394289,76520730,76437990,70433835,0,76878123,136796374,109283368,111337763,19164416,202894175,216158621,16378349,74738308,81368614,112589374,89977380,44000773,9,212630,96734,115898,49679,22873,21855,36572,32848,48804,23485,40565,38513,41860,48650,19558,29703,30462,31326,31038,31496,29890,28715,298,30,0,3,0,0,0,0,0,0,0,17564,405548,201058,266278,358025,142854,1391327,1
