상권코드,분기당매출건수,주중매출건수,주말매출건수,월요일매출건수,화요일매출건수,수요일매출건수,목요일매출건수,금요일매출건수,토요일매출건수,일요일매출건수,시간대0006매출건수,시간대0611매출건수,시간대1114매출건수,시간대1417매출건수,시간대1721매출건수,시간대2124매출건수,남성매출건수,여성매출건수,연령대10매출건수,연령대20매출건수,연령대30매출건수,연령대40매출건수,연령대50매출건수,연령대60이상매출건수,분기당매출금액,주중매출금액,주말매출금액,월요일매출금액,화요일매출금액,수요일매출금액,목요일매출금액,금요일매출금액,토요일매출금액,일요일매출금액,시간대0006매출금액,시간대0611매출금액,시간대1114매출금액,시간대1417매출금액,시간대1721매출금액,시간대2124매출금액,남성매출금액,여성매출금액,연령대10매출금액,연령대20매출금액,연령대30매출금액,연령대40매출금액,연령대50매출금액,연령대60이상매출금액,점포수,총생활인구수,남성생활인구수,여성생활인구수,연령대10생활인구수,연령대20생활인구수,연령대30생활인구수,연령대40생활인구수,연령대50생활인구수,연령대60이상생활인구수,시간대0006생활인구수,시간대0611생활인구수,시간대1114생활인구수,시간대1417생활인구수,시간대1721생활인구수,시간대2124생활인구수,월요일생활인구수,화요일생활인구수,수요일생활인구수,목요일생활인구수,금요일생활인구수,토요일생활인구수,일요일생활인구수,총직장인구수,집객시설수,관공서수,은행수,대학교수,백화점수,슈퍼마켓수,의료시설수,교육시설수,여가시설수,교통시설수,시간대0006유동인구수,시간대0611유동인구수,시간대1114유동인구수,시간대1417유동인구수,시간대1721유동인구수,시간대2124유동인구수,총유동인구수,분기코드,행정동코드
2110001,38799,23983,14816,4415,4649,5427,4482,5010,7412,7404,44,7575,16258,8034,6736,116,22882,12465,136,1709,3643,6938,10930,11992,801061039,452825876,348235163,76025579,86278201,104828017,86930673,98763406,171746838,176488325,833285,113183983,299165120,173748537,206588024,6762586,450870243,244849098,1312616,23781793,65430500,124309300,215202562,265682572,16,148832,66007,82825,26170,16060,14849,23481,25024,43248,37996,31763,17719,17631,24492,19232,21094,20911,21071,20786,20856,21802,22313,1066,12,1,0,0,0,0,0,0,0,0,7196,120567,76459,96002,109188,37317,446729,1,11110560
2110002,75491,56766,18725,11926,10340,11966,11308,11226,10918,7807,0,13059,21138,15663,21755,3876,33758,37559,761,9881,12915,15783,18087,13895,1002556926,757661372,244895554,151705865,154569889,159129349,135998286,156257983,158399923,86495631,0,137787227,279604211,203583979,323026969,58554540,462286292,387368655,4841668,80479334,135630767,186884196,240955237,200863746,20,302828,137022,165805,57664,36328,36814,45191,46192,80639,75051,63637,36875,37844,50467,38952,43417,43669,43501,43530,43251,42989,42471,475,18,2,0,0,0,0,0,0,0,0,60128,760470,445539,497466,616231,219220,2599054,1,11110570
2110003,30199,22142,8057,4023,4488,4234,5057,4340,4503,3554,10,4687,10237,6094,7452,1280,16000,12295,526,2861,4884,7495,7208,5326,463889716,331758512,132131204,62971915,70208371,59622125,74456109,64499992,79869400,52261804,685714,42377247,127756571,71678078,152207336,64045523,256357317,161507470,5917229,34778116,69940572,107174970,103099733,96954171,32,403155,181227,221927,74048,45819,42666,65686,63788,111152,130839,86357,40921,38502,53954,52582,56703,56734,57667,57611,56583,58411,59445,485,15,0,1,0,0,0,0,0,0,0,19692,315895,198560,238837,305327,103004,1181315,1,11110550
2110004,11413,7304,4109,1356,1239,1556,1532,1621,1889,2220,0,1121,3962,1907,4193,230,5439,3582,36,752,1283,1706,2379,2864,432936004,251498517,181437487,37480128,41557196,60753002,49317253,62390938,80648681,100788806,0,17784663,128585306,78887978,191347311,16330746,231731531,139382276,706689,20515870,49110434,71474039,104136287,125170489,5,369100,170943,198156,71279,42912,49608,63368,55292,86639,77369,74641,47342,50545,70639,48563,52252,52714,52107,52086,52161,53644,54136,32,8,0,0,0,0,0,0,0,0,0,105847,1083580,635222,737785,892915,315001,3770350,1,11110570
2110005,25965,18135,7830,2350,3614,3824,4188,4159,4101,3729,0,1843,9888,4568,7044,883,10480,11845,118,1992,3135,5045,6467,5570,630732047,407316794,223415253,61607057,79059539,89729958,91714113,85206127,119392021,104023232,0,30452267,218149649,101756908,210906635,40353085,253281361,254449586,3157871,38413009,74067328,105907889,145783332,140401518,16,173118,75228,97890,29350,17753,21314,26887,31091,46722,44173,34034,20814,20747,29572,23778,24844,24862,25036,24905,24807,24531,24132,1006,15,2,1,0,0,0,0,0,0,0,23135,290332,171336,214601,301124,106398,1106926,1,11110550
2110006,20020,9722,10288,696,837,3043,2441,2705,5149,5139,5,142,6598,8032,5155,88,7176,12363,113,3792,5202,4026,3981,2430,396585300,206436113,189686722,14690922,21784352,60212227,50758136,58990476,95939601,93747121,343468,2628281,132869487,148899207,108563031,3281826,144253312,232755490,1670849,63591056,89712387,81421620,78888554,61724339,7,6437,2967,3469,918,843,910,1131,992,1644,1451,1459,842,832,1084,769,907,908,902,887,907,931,996,27,4,1,0,0,0,0,0,0,0,0,5058,86404,71997,86481,96386,30638,376964,1,11110550
2110007,1238,695,543,82,193,119,99,202,287,256,3,0,203,318,400,314,637,510,0,270,333,222,184,140,62084130,33184830,28899300,3789658,10753999,4346639,5147629,9146905,16040476,12858824,311459,0,7558698,13074680,26108783,15030510,34586409,22324072,0,12474431,16684291,10914659,9307906,7529194,3,462639,209246,253393,97563,54842,58038,84299,66600,101297,137984,99114,48248,46116,67887,63293,64603,65176,65314,64719,64524,67132,71171,283,11,1,0,0,0,0,0,0,0,0,54806,475463,279685,350982,431848,154756,1747540,1,11110530
2110008,245273,150029,95147,24478,27815,35723,31532,31357,48677,46470,133,8876,80555,98687,54317,2705,78581,163234,5156,102651,67025,29285,26683,11013,4572201558,2634159616,1935786010,353900736,505296733,629023704,526155869,637156957,992481065,943304945,3389317,96011454,1260010441,1628743049,1348220249,235827048,1632592540,2743117871,37819102,1724236149,1288518778,522982252,549120679,253033450,93,1115849,474274,641576,205067,152277,170181,194765,162770,230791,315445,236523,134655,123125,165545,140556,158888,157975,159697,159895,157213,160626,161557,552,11,0,0,1,0,0,0,0,0,0,9047,175314,111147,136166,170999,52697,655370,1,11110515
2110009,20347,10357,9990,819,2398,2702,1849,2589,5089,4901,20,141,4650,5509,9019,1008,9194,9628,130,3012,4770,4624,4183,2110,855976834,455391617,400585217,58159064,108724767,104427554,74514500,109565732,210477178,190108039,2968374,2117686,180039066,213068858,379079056,78703794,363233449,366398919,3584546,104657001,184057768,178500286,168757777,90074994,24,140571,64245,76326,18768,13824,16782,27181,24465,39550,47042,29537,14150,12981,18287,18574,19786,19904,19938,19600,19998,20671,20672,950,3,0,0,0,0,0,0,0,0,0,5058,87200,72380,87024,97543,30970,380175,1,11110550
2110010,157996,115060,42936,23017,22234,22655,24925,22229,26245,16691,18,10503,49881,41823,48052,4655,57648,89094,16328,16354,23362,33496,33212,23988,2309756792,1665182298,644574494,321354366,319723813,334125744,363443611,326534764,369135019,275439475,9249276,118296525,729020923,486582555,784923789,118268100,888600857,1025234189,98240530,162780900,272307766,464703789,487673476,428128578,40,204134,90390,113744,35529,21230,25159,30502,35577,56139,61387,42896,19734,19399,30444,30271,29150,29285,29287,28898,28854,29108,29553,6687,36,1,0,0,0,0,0,0,0,0,9935,147900,85620,105926,127250,45263,521894,1,11110560
