구상권코드,상권코드명,행정동코드
2110238,배꽃어린이공원,11260610
2110914,내방역 6번,11650621
2110880,신림역 1번,11620645
2110779,대림갑을명가아파트,11560700
2110791,신풍역 3번,11560670
2111037,Sh수협은행 오금동금융센터(아랫말어린이공원),11710570
2110705,고산초등학교,11530720
2110570,KB국민은행 서강지점,11440630
2110921,서울프랑스학교,11650581
2110798,신풍역 2번,11560680
2110852,이수역 9번,11590620
2110343,무너미어린이공원,11305645
2110523,홍제성원아파트,11410620
2110200,동대문경찰서,11230705
2110965,언주역 6번,11680640
2110275,하나은행 망우동지점,11260655
2110298,솔숲어린이공원,11290620
2110347,구세군강북종합사회복지관,11305534
2110383,덕성여대시반거리,11320660
2110389,한일병원,11320680
2110342,국립재활원,11305660
2110412,창동중학교,11320690
2110320,KB국민은행 종암동지점,11290705
2110678,염창무학아파트,11500510
2110146,신자초등학교,11215840
2110073,삼각지역 3번,11170625
2110151,자양한강도서관,11215830
2110169,성동초등학교,11215830
2111076,둔촌2동주민센터,11740700
2111067,강동구립성내도서관,11740660
2110154,광진정말공원,11215820
2111058,성내중학교,11740640
2110783,영등포시장역 1번,11560535
2110143,뚝섬유원지역 1번,11215840
2110092,NH농협은행 보광동지점,11170700
2110144,어린이대공원역 4번,11215710
2110059,새남터성지,11170640
2110044,관성묘,11140580
2110088,오산고등학교,11170690
2110770,영등포구청역 6번,11560550
2110976,언북초등학교,11680565
2110155,광진구청,11215820
2110267,망우역 2번,11260580
2110600,신월7동주민센터,11470611
2110985,청담근린공원,11680565
2110756,문래중학교,11560610
2110129,성원어린이공원,11200660
2110234,중랑역 4번,11260610
2110045,동대문역사문화공원역 5번,11140580
2110398,쌍문2동우체국,11320670
2110704,고척중학교,11530720
2110981,국악고교사거리,11680690
2110381,번동주공2단지,11305606
2110977,논현로18길,11680690
2111082,중앙보훈병원,11740700
2110628,신목동역,11470520
2110126,서울숲역 1번,11200650
2110556,절두산순교성지,11440680
2110180,광진정보도서관,11215810
2110577,용강동주민센터,11440590
2110653,화곡역 2번,11500615
2110148,어린이대공원역 3번,11215710
2110581,염리초등학교,11440610
2110139,자양4동주민센터,11215847
2111071,천동초등학교,11740685
2110102,옥수역 6번,11200645
2110908,구반포역,11650550
2111041,거여역 8번,11710531
2110777,구로세무서,11560605
2110764,문래역 3번,11560550
2110959,신구중학교,11680545
2110962,도산공원북측,11680545
2110070,용산세무서,11170625
2110604,신월4동주민센터,11470590
2110602,신월시영아파트중문,11470611
2110643,강서구다솔마을,11500620
2110598,신월문화체육센터,11470611
2110729,가산동우체국,11545510
2110761,문래동남성맨션,11560605
2110784,신대림초등학교,11560700
2110818,신대방역 3번,11590670
2110553,가좌역 2번,11440730
2111045,개미어린이공원,11710647
2110461,새절역 2번,11380600
2110476,역촌역 2번,11380570
2110842,흑리단길,11590605
2110287,정릉3동주민센터,11290640
2110312,안암역 2번,11290600
2110494,증산3교남측,11410710
2110504,명지전문대,11410685
2110184,용두사거리,11230536
2110183,한국의류시험연구원,11230536
2110244,중화역 4번,11260610
2110434,태릉입구역 4번,11350595
2110386,연산군묘,11320710
2110248,먹골파출소,11260620
2110132,성수2가3동주민센터,11200690
2110145,장안초등학교,11215730
2111080,굽은다리역 3번,11740530
2110612,신정역 5번,11470650
2110082,용산구청,11170650
2110594,신월중학교,11470600
2110141,건대입구역 1번,11215710
2110103,옥수터널,11200620
2111078,굽은다리역 4번,11740685
2110644,신광명마을,11500611
2110096,한남힐사이드아파트,11170685
2110127,성수1가1동주민센터,11200650
2110097,한남초등학교,11170685
2110561,상수역 4번,11440655
2110264,면목역 2번,11260565
2110166,구의1동주민센터,11215850
2110136,경수초등학교,11200670
2110438,경춘선숲길 우측,11350600
2110131,성수동카페거리,11200670
2110566,경의선책거리,11440660
2110569,홍대땡땡거리,11440660
2110554,망원역 1번,11440660
2110054,청구역 3번,11140645
2110582,이대역 5번,11440610
2110650,우장산힐스테이트,11500615
2110164,아차산역 5번,11215780
2111032,방이역 1번,11710570
2110677,등촌역 1번,11500520
2110699,덕의초등학교,11530730
2111015,석촌역 3번,11710580
2110814,서울지방병무청,11560690
2110826,장승배기역 4번,11590540
2110177,동의초등학교,11215860
2110623,갈산공원,11470680
2110111,대현산장미원,11200580
2111006,석촌고분역 1번,11710610
2110047,다산성곽길,11140625
2111004,삼전역 1번,11710650
2110967,역삼역 8번,11680640
2110555,홍익지구대,11440660
2110575,대흥동주민센터,11440600
2110050,약수역 7번,11140635
2110649,우장산역 1번,11500615
2110168,대원고등학교,11215770
2110580,양원초등학교,11440600
2110661,강서새말어린이공원,11500591
2110106,금북초등학교,11200590
2110174,아차산역 1번,11215770
2110540,망원나들목체육관,11440690
2110557,홍대부속여중고앞,11440660
2111070,천호초등학교,11740600
2110051,한양공고앞 교차로,11140615
2110624,목동문화체육센터,11470520
2111084,길동신동아아파트,11740685
2110101,옥정중학교,11200645
2110559,성산중학교,11440680
2110170,동대부여고,11215850
2110159,구의역 4번,11215820
2111083,GS강동자이아파트,11740685
2110134,성수119안전센터,11200670
2111007,석촌고분역 4번,11710610
2111009,송파책박물관,11710600
2110075,숙대입구역 1번,11170530
2110563,상수역 3번,11440655
2110120,서울숲카페거리,11200660
2110567,광흥창역 6번,11440655
2110179,광나루역 1번,11215810
2110217,자동차부품상가,11230610
2111051,천호역 6번,11740650
2110065,남정초등학교,11170560
2110579,마포역 4번,11440585
2110173,구남초등학교,11215870
2110095,한강진역 3번,11170685
2110076,삼각지역 14번,11170625
2110034,창신1동주민센터,11110670
2110843,사당5동주민센터,11590651
2110599,신월1파출소,11470560
2111056,천호태영아파트,11740620
2110140,건대입구역 6번,11215847
2110667,가양역 10번,11500535
2110844,흑석2치안센터,11590605
2111012,석촌역 6번,11710600
2110268,망우3동주민센터,11260660
2110543,중암중학교,11440730
2110086,이태원역 북측,11170650
2111020,방이동고분군(방산고등학교),11710561
2110793,대림썬프라자,11560700
2110099,유엔빌리지길,11170685
2110058,성심여자고등학교,11170570
2110593,신월3동주민센터,11470580
2110176,해오름공원,11215770
2110040,중구회현체육센터(정화예술대남산캠퍼스),11140540
2111008,석촌고분역 3번,11710600
2110118,왕십리역 9번,11200560
2111063,강동구립 천호도서관,11740620
2110133,서울교통공사,11200790
2110721,가리봉파출소,11530595
2110888,청룡동주민센터,11620595
2110436,상계제일중학교,11350624
2110697,개봉3동주민센터,11530760
2111040,거여초등학교,11710570
2110889,봉천역 6번,11620605
2110858,신대방역 1번,11620685
2110964,싸리고개근린공원,11680655
2110975,매봉역 1번,11680655
2110511,연희초등학교,11410615
2110165,국립정신건강센터,11215750
2110508,서연중학교,11410615
2111069,천호1동주민센터,11740600
2110161,중곡역 3번,11215760
2110660,등촌3동주민센터,11500535
2110560,마포FM,11440710
2110153,중곡1동주민센터,11215740
2110674,강서구청가양동별관,11500605
2110229,장평중학교,11230650
2110652,양천향교역 2번,11500603
2110032,수족관거리,11110670
2110497,가좌역 3번,11410690
2110225,촬영소사거리,11230610
2110171,중곡4동주민센터,11215770
2110198,동대문중앙새마을금고본점,11230545
2110015,청와대사랑채,11110515
2110186,종암초등학교,11230545
2110259,사가정역 1번,11260575
2110702,개봉초등학교,11530760
2110919,내방역 8번,11650621
2110845,사당종합체육관,11590640
2111027,문정초등학교,11710641
2110591,충정로역 6번,11140680
2111090,강일동주민센터,11740515
2111021,방이역 4번,11710561
2110655,발산역 5번,11500615
2110039,회현역 1번,11140540
2110541,동교초등학교,11440700
2110004,대신고등학교,11110570
2110162,군자역 4번,11215750
2110041,남산케이블카,11140550
2110520,경의중앙 신촌역,11410585
2110147,능동우편취급국,11215730
2110636,방화역 2번,11500630
2110185,용두초등학교,11230536
2110115,상왕십리역 3번,11200535
2110057,황학코아루아파트,11140670
2110437,당고개역 2번,11350665
2110524,연희세브란스병원,11410585
2110534,경기대학교,11410565
2110152,중곡어린이공원,11215740
2110548,마포구청역 4번,11440720
2110722,G타워,11530540
2110537,충정로현대아파트,11410565
2110119,마장지하차도,11200540
2110226,장안1동주민센터,11230650
2110218,답십리사거리,11230610
2110038,경향신문사,11140520
2110536,돈의문센트레빌아파트입구,11410520
2110158,중곡3동주민센터,11215760
2110240,태릉시장 특화거리,11260610
2110500,남가좌동현대아파트,11410700
2110025,충신시장옆,11110630
2110633,개화산역 1번,11500640
2110036,동묘앞역 3번,11110710
2110030,동대문역 3번,11110670
2110641,공항고등학교,11500630
2110517,서대문소방서,11410615
2110439,당고개역 5번,11350665
2110209,답십리 장령당공원,11230600
2110518,서대문구청,11410615
2110637,송정역 2번,11500620
2111061,암사역 1번,11740570
2110631,방화초등학교,11500640
2110716,구로나눔길,11530530
2110657,양천향교역 5번,11500535
2110526,봉원사,11410585
2111033,문정동성당,11710646
2110330,돌곶이역 1번,11290770
2110693,오류동역 4번,11530770
2110917,서초소방서,11650581
2110615,신서초등학교,11470620
2110994,개포고등학교,11680670
2110698,개웅초등학교(개웅중학교),11530760
2111088,고덕동성당,11740560
2110078,이촌동점보아파트,11170630
2110973,강남구청역 4번,11680565
2110988,청담역 3번,11680580
2110966,논현2동주민센터,11680531
2110799,영등포본동주민센터,11560515
2110970,학동초등학교,11680531
2110211,전곡마을마당공원,11230560
2110974,언주중학교,11680590
2110216,전농중학교,11230570
2110205,경희대삼거리,11230710
2110825,신대방삼거리역 1번,11590550
2110834,동작구자원봉사센터,11590510
2110689,오류동역 3번,11530770
2110861,관악구신사동주민센터,11620685
2110690,오류2동버들시장,11530780
2110625,신정2동주민센터,11470630
2110782,영등포시장역 4번,11560535
2110089,서빙고동주민센터,11170690
2110806,서울시립영등포장애인복지관,11560535
2110609,신정네거리역 2번,11470640
2110758,문래소공원,11560605
2110954,국기원,11680640
2110995,봉은사역 4번,11680580
2110616,양목초등학교,11470650
2110968,강남구청역 2번,11680531
2110071,한강미주맨션아파트,11170630
2110607,금빛새마을금고본점,11470570
2110613,신정네거리역 4번,11470620
2110206,텃골근린공원,11230560
2110670,신곡초등학교,11500570
2110646,푸른들청소년도서관,11500560
2110647,화곡역 5번,11500540
2110597,신월1동주민센터,11470560
2110596,서서울호수공원,11470580
2110256,면목2동체육관,11260520
2110982,강남구보훈회관,11680590
2110695,개봉1동주민센터,11530730
2110997,대청초등학교,11680730
2110835,상도역 1번,11590530
2110952,논현목련공원,11680521
2110208,시조사삼거리,11230710
2111064,둔촌동역 4번,11740660
2110219,삼육보건대학교,11230730
2110258,면동초등학교,11260565
2110833,상도역 2번,11590540
2110780,신길대성유니드아파트,11560670
2110989,대치동아우편취급국,11680630
2110175,푸른동산공원,11215870
2110083,서빙고역 1번,11170690
2110706,그라운드 고척,11530720
2110692,큰굴다리,11530740
2110831,상도4동주민센터,11590560
2111005,삼전역 3번,11710610
2110167,용마초등학교,11215750
2110156,군자역 5번,11215780
2111025,경찰병원역 3번,11710632
2111038,보인중학교,11710570
2110823,신대방삼거리역 3번,11590680
2110720,대림역 2번,11530550
2110686,수궁동주민센터,11530790
2110713,구로보건소,11530560
2110691,개봉중학교,11530740
2110772,신우어린이공원,11560720
2110808,신길역 1번,11560515
2110605,목동센트럴아이파크앞,11470610
2110768,도림2동유수지내체육시설,11560585
2110839,숭실대입구역 4번,11590530
2110703,개봉역,11530740
2111036,투구봉어린이공원,11710632
2111014,송파나루역 2번,11710562
2110915,서래초등학교,11650590
2110714,구로4동주민센터,11530550
2110603,지향초등학교,11470640
2110765,문래동사거리,11560605
2110951,신사은행나무공원,11680510
2110682,온수역 8번,11530790
2110617,등촌역 4번,11470530
2110912,방배동사이길,11650590
2110125,사근동살곶이상점가,11200550
2110856,미성초등학교,11620765
2110828,노량진역 6번,11590520
2110961,언주역 3번,11680531
2110809,장훈고등학교,11560515
2110666,KC대학교,11500591
2111019,한성백제역 3번,11710562
2110658,화곡초등학교,11500590
2110672,백석중학교,11500530
2110654,까치산역 4번,11500540
2110673,뜸부기어린이공원,11500570
2110645,우장산역 4번,11500611
2110762,선유도역 1번,11560620
2110659,화곡역 4번,11500590
2110595,메디힐병원,11470600
2110664,강서구청옆,11500591
2110207,시립대앞사거리,11230560
2110665,곰달래도서관,11500550
2110708,화원어린이공원,11530530
2110668,화곡2동주민센터,11500550
2110606,신한은행 신월동지점,11470590
2110662,까치산역 1번,11500593
2110620,목동보건지소,11470540
2110701,고척동성당,11530730
2110542,마포구청역 7번,11440700
2110090,한국폴리텍대학서울정수캠퍼스,11170700
2110614,목동로데오거리,11470650
2110656,까치산역 3번,11500540
2110987,영동대교남단,11680565
2111029,오금역 4번,11710632
2110611,신정역 1번,11470650
2110763,영등포구청역 2번,11560550
2110859,난향초등학교,11620715
2110685,금강수목원아파트,11530780
2110212,답십리초등학교,11230600
2110979,청담초등학교,11680565
2110816,대방역 6번,11560630
2110872,신림초등학교,11620655
2110740,금천해태공원,11545670
2110857,미성동주민센터,11620765
2110748,백산초등학교,11545710
2110747,석수역 1번 출입구,11545690
2110741,독산2동주민센터,11545620
2111044,남천초등학교,11710550
2110465,연신내역 7번,11380551
2110446,내를건너서숲으로도서관,11380632
2110052,장충초등학교,11140625
2110049,장충단 고개,11140625
2110639,신방화역 8번,11500630
2110109,금호삼성래미안아파트,11200590
2110683,오류고등학교,11530790
2110592,서울금융고등학교,11470580
2110681,온수역 1번,11530790
2110688,오류지구대,11530770
2110610,계남근린공원,11470640
2110635,공항시장역 3번,11500620
2110634,송정역 3번,11500620
2110638,신방화역 2번,11500630
2110630,공항시장역 1번,11500640
2110608,신월2동주민센터,11470570
2110627,신정롯데캐슬아파트,11470630
2110895,샤로수길,11620585
2110794,영동초등학교,11560560
2110651,화원중학교,11500540
2110551,성서초등학교,11440720
2110547,KB국민은행 망원동지점,11440700
2110800,영등포동성당,11560535
2110807,신길역 3번,11560535
2110283,성북초등학교앞,11290525
2110792,영등포역 2번,11560585
2110785,영등포푸르지오아파트,11560585
2110458,선일여고,11380552
2110675,화곡4동주민센터,11500570
2110694,세곡초등학교,11530730
2110696,오류동역 1번,11530750
2110544,망리단길,11440690
2110715,구로구민회관,11530560
2110718,한국SGI본부,11530560
2110733,금천어울림복지센터,11545670
2110727,독산역 1번 출입구,11545610
2110731,금천구청역 1번 출입구,11545670
2110735,말미고개,11545620
2110819,신대방역 4번,11590670
2110495,북가좌2동주민센터,11410720
2110496,모래내우체국,11410720
2110549,새터산,11440730
2110552,성미산체육관,11440720
2110837,숭실대입구역 1번,11590530
2110836,상도역 5번,11590530
2110513,연희파출소,11410615
2110892,관악구 중앙길,11620615
2110896,관악우성아파트,11620575
2110897,서울대입구역 8번,11620575
2110485,연신내우체국,11380530
2110916,내방역 4번,11650600
2110464,연신내역 5번,11380552
2110455,역촌노인복지관,11380625
2110456,구산보건지소,11380560
2110137,성수초등학교,11200690
2110717,남구로역 2번,11530595
2110622,달마을공원,11470520
2110711,구로초등학교,11530530
2110802,신길동홍어거리,11560660
2110710,남구로역 3번,11530530
2110712,남구로역 5번,11530550
2110728,두산초등학교,11545610
2110671,등촌1동주민센터,11500520
2110676,등촌역 7번,11500530
2110463,응암3동주민센터,11380600
2110752,한울중학교,11545700
2110766,대림역 5번,11560720
2110744,독산동성당,11545640
2110444,수색성당,11380640
2110736,독산119안전센터,11545640
2110737,금천세무서,11545630
2110738,문성초등학교,11545630
2110024,혜회동주민센터,11110650
2110776,도신초등학교,11560720
2110767,도림동주민센터,11560585
2110546,양화대교북단,11440680
2110550,합정역 8번,11440680
2110803,신길2동우편취급국,11560515
2110260,면목역 3번,11260565
2110787,신길3동주민센터,11560650
2110804,신풍역 1번,11560680
2110812,신길6동주민센터,11560680
2110781,대림한신아파트,11560700
2110210,서울시립대,11230560
2110789,대림성모병원,11560700
2110855,신대방역 2번,11620725
2110270,혜원여고,11260660
2110014,경복고등학교,11110515
2110778,구로디지털단지역 4번,11560710
2110864,신림우방아파트,11620685
2110468,응암역 3번,11380625
2110459,응암역 2번,11380625
2110448,상신초등학교입구,11380632
2110450,시립서북병원,11380560
2110453,신사1동주민센터,11380631
2110891,구암초등학교,11620565
2110506,연희임광아파트,11410615
2110452,새절역 3번,11380632
2110128,성원중학교,11200650
2110512,연희지하차도,11410615
2110519,서대문구보건소별관,11410620
2110535,영천시장입구,11410520
2110538,충정로역 3번,11410565
2110012,성곡미술관,11110530
2110016,평창동동측,11110560
2110005,세검정,11110550
2110451,증산역 4번,11380640
2110130,답십리역 6번,11200790
2110261,사가정역 4번,11260570
2110309,대광초등학교,11290600
2110018,중앙고등학교,11110600
2110266,면목동우체국,11260575
2110021,성균관대학교,11110650
2110242,면목5동주민센터,11260550
2110302,보문역 8번,11290610
2110471,응암동우체국,11380600
2110449,증산역 3번,11380640
2110498,증산역 1번,11410720
2110815,공군호텔,11560630
2110820,성남고등학교,11590660
2110817,대방역 4번,11560630
2110824,대방역 3번,11590660
2110558,경성고등학교,11440720
2110509,연희대우아파트앞,11410585
2110469,응암정보도서관,11380600
2110503,명지대학교교회,11410700
2110484,역촌역 3번,11380510
2110490,녹번동근린공원,11380510
2110473,구산역 1번,11380570
2110472,연신내역 4번,11380570
2110584,아현역 4번,11440555
2110571,신수동주민센터,11440630
2110480,연신내역 3번,11380530
2110572,서강대역 1번,11440630
2110829,장승배기역 5번,11590520
2110847,예술인마을,11590620
2110885,영락고등학교,11620665
2110832,노량진초등학교,11590510
2110830,상도초등학교,11590560
2110827,NH농협은행 상도동지점,11590560
2110877,신림역 8번,11620695
2110589,애오개역 3번,11440565
2110590,만리재,11440565
2110873,당곡중학교,11620525
2110879,신림현대아파트,11620745
2110013,체부동홍종문가옥,11110530
2110821,보라매역 2번,11590680
2110886,관악해태어린이공원,11620665
2110813,보라매역 6번,11560690
2110810,영신초등학교,11560630
2110528,서울여자간호대학교,11410640
2110001,이북5도청사,11110560
2110587,공덕동주민센터,11440565
2110068,남영역 1번,11170560
2110586,서울서부지방법원,11440565
2110588,한겨레신문사,11440565
2110840,중앙대학교,11590605
2110060,효창공원앞역 6번,11170590
2110533,충정로역 7번,11410555
2110069,숙대입구,11170555
2110846,남성역 1번,11590650
2110848,양지어린이공원,11590620
2110338,인수초등학교,11305660
2110902,사당역 4번,11620630
2110850,사당역 10번,11590620
2110064,효창공원앞역 2번,11170580
2110237,메가박스 상봉,11260520
2110273,장스여성병원,11260680
2110334,석관중앙교회,11290810
2110445,덕산중학교,11380631
2110265,망우역 1번,11260580
2110486,은평구청,11380510
2110333,돌곶이역 5번,11290810
2110027,혜화역 1번,11110640
2110313,안암역 3번,11290600
2110017,정독도서관,11110600
2110443,수색역 1번,11380650
2110203,떡전교사거리,11230705
2110252,장안제일시장,11260550
2110521,홍제역 4번,11410620
2110142,화양사거리,11215710
2110215,회기역 1번,11230720
2110006,부암동주민센터,11110550
2110457,예일여고,11380560
2110274,서일대학교,11260575
2110197,세종대왕기념관교차로,11230705
2110222,회기역 2번,11230720
2110213,청량초등학교,11230740
2110286,한성대입구역 5번,11290525
2110841,중대부중,11590605
2110063,효창공원앞역 5번,11170590
2110061,효창동주민센터,11170580
2110269,용마문화복지센터,11260575
2110067,배문고등학교,11170555
2110066,서울역 15번,11170555
2110532,아현역 2번,11410555
2110922,내방역 1번,11650600
2110904,이수역 5번,11650610
2110907,방배초등학교,11650621
2110084,경리단길북측,11170660
2110085,경리단길남측,11170660
2110253,중곡초등학교,11260540
2110031,창신역 1번,11110690
2110081,해방촌 남동측,11170520
2110080,해방촌예술마을,11170510
2110079,후암동주민센터,11170510
2110074,서울역 12번,11170530
2110077,삼광초등학교,11170510
2110849,이수역 10번,11590640
2110292,정릉역 2번,11290630
2110289,북한산보국문역 2번,11290640
2110123,마장역 3번,11200540
2110355,삼양사거리역 2번,11305534
2110284,정릉북한산국립공원입구,11290650
2110339,국립4.19민주묘지,11305645
2110022,경신고등학교,11110650
2110285,홍대부중,11290525
2110135,성동세무서,11200720
2110042,남산골공원옆,11140570
2111047,마천1치안센터,11710540
2110196,홍릉근린공원,11230705
2110527,홍제역 2번,11410640
2110277,러스크서울병원,11260655
2110314,종암경찰서,11290705
2110522,홍제역 3번,11410620
2110263,면목역 1번,11260565
2110516,정원여중,11410685
2110199,홍릉시장,11230545
2110228,장안근린공원,11230660
2110632,방화역 3번,11500630
2110493,북가좌초등학교,11410710
2110201,전농119안전센터,11230560
2110487,불광역 8번,11380520
2110510,홍연시장,11410615
2110035,동묘앞역 2번,11110710
2110282,국민대학교앞,11290640
2110428,상계5동주민센터,11350670
2110399,창2동주민센터,11320512
2110411,도봉역 3번,11320522
2110441,영신여고,11350619
2110255,상봉역 4번,11260590
2110276,신내IC북측,11260680
2110387,쌍문초등학교,11320660
2110384,문이교,11320660
2110247,먹골역 1번,11260620
2110422,노원역 9번,11350720
2110326,장위동성당,11290760
2110324,월곡역 4번,11290725
2110157,자양동우체국,11215830
2110352,수유1동주민센터,11305610
2110363,송천동주민센터,11305555
2110370,도봉세무서,11305555
2110002,독립문역 1번,11110570
2110227,답십리공원,11230610
2110642,정곡초등학교,11500641
2110502,남가좌파출소,11410700
2110028,이화달팽이길,11110640
2110507,명지대학교,11410685
2110033,창신역 4번,11110700
2110254,오거리공원,11260570
2110311,종암아이파크2차후문,11290705
2110232,동대부고,11230660
2110019,창덕궁,11110615
2110257,상봉역 7번,11260580
2110377,미아사거리역 3번,11305545
2110214,경희대후문,11230740
2110306,미아초등학교,11290660
2110318,KT월곡지사,11290715
2110531,홍지문,11110550
2110470,신진과학기술고등학교,11380580
2110037,신설동역 12번,11110710
2110192,동의보감타워,11230536
2110640,방화역 1번,11500641
2110319,종암동주민센터,11290705
2110354,삼각산119안전센터,11305575
2110020,서울국제고등학교,11110650
2110321,동덕여대,11290715
2110447,구산초등학교,11380560
2110996,대치2동주민센터,11680610
2110299,정릉역 1번,11290620
2110489,불광역 3번,11380510
2110251,장안중학교,11260600
2110478,응암1동주민센터,11380580
2110308,길음역 8번,11290685
2110278,망우본동주민센터,11260655
2110335,석계역 7번,11290810
2110336,석관고등학교,11290810
2110440,상계3동4동주민센터,11350665
2110112,행당역 2번,11200560
2110466,구산역 2번,11380625
2110250,화랑대역 7번,11260620
2110432,대진고등학교,11350611
2110442,화랑대철도공원,11350600
2110414,장석교회,11350560
2110010,평창동서측,11110560
2110272,신내1동주민센터,11260680
2110316,숭곡초등학교,11290715
2110382,솔밭공원역 1번,11320660
2110003,세검정초등학교,11110550
2110477,은평세무서,11380510
2110221,의릉,11290810
2110310,길음역 10번,11290715
2110417,월계역 3번,11350570
2110462,갈현건영아파트,11380551
2110953,학동근린공원,11680521
2110429,공릉동 국수거리,11350595
2110983,국립국악고등학교,11680690
