상권코드,분기당매출건수,주중매출건수,주말매출건수,월요일매출건수,화요일매출건수,수요일매출건수,목요일매출건수,금요일매출건수,토요일매출건수,일요일매출건수,시간대0006매출건수,시간대0611매출건수,시간대1114매출건수,시간대1417매출건수,시간대1721매출건수,시간대2124매출건수,남성매출건수,여성매출건수,연령대10매출건수,연령대20매출건수,연령대30매출건수,연령대40매출건수,연령대50매출건수,연령대60이상매출건수,분기당매출금액,주중매출금액,주말매출금액,월요일매출금액,화요일매출금액,수요일매출금액,목요일매출금액,금요일매출금액,토요일매출금액,일요일매출금액,시간대0006매출금액,시간대0611매출금액,시간대1114매출금액,시간대1417매출금액,시간대1721매출금액,시간대2124매출금액,남성매출금액,여성매출금액,연령대10매출금액,연령대20매출금액,연령대30매출금액,연령대40매출금액,연령대50매출금액,연령대60이상매출금액,점포수,총생활인구수,남성생활인구수,여성생활인구수,연령대10생활인구수,연령대20생활인구수,연령대30생활인구수,연령대40생활인구수,연령대50생활인구수,연령대60이상생활인구수,시간대0006생활인구수,시간대0611생활인구수,시간대1114생활인구수,시간대1417생활인구수,시간대1721생활인구수,시간대2124생활인구수,월요일생활인구수,화요일생활인구수,수요일생활인구수,목요일생활인구수,금요일생활인구수,토요일생활인구수,일요일생활인구수,총직장인구수,집객시설수,관공서수,은행수,대학교수,백화점수,슈퍼마켓수,의료시설수,교육시설수,여가시설수,교통시설수,시간대0006유동인구수,시간대0611유동인구수,시간대1114유동인구수,시간대1417유동인구수,시간대1721유동인구수,시간대2124유동인구수,총유동인구수,cluster
2130324,10820,6666,4154,1149,1220,843,1417,2037,2225,1929,378,0,270,1356,6869,1947,5691,5129,27,1002,1976,2969,2482,2364,141216002,85877217,55338785,14268040,15389529,11208616,19327214,25683818,29669233,25669552,6660751,0,3835495,19033923,86688278,24997555,73815700,67400302,338245,13131898,26460402,37882481,32496245,30906731,3,482114,219228,262886,78473,55491,67182,72947,75406,132617,140113,96895,53230,52866,76832,62178,68621,68313,67785,67607,67651,70497,71640,154,5,0,0,0,0,0,0,0,0,0,52638,658719,347031,403754,604119,217740,2284001,3
2130322,3281,2201,1080,243,420,405,540,593,542,538,148,45,332,386,1638,732,2068,1151,19,233,700,650,766,850,58822543,42422509,16400034,4675197,6201797,6086980,8678165,16780370,8147828,8252206,2379604,8332181,5851531,5006007,25440259,11812961,32572461,17456503,221150,3610650,10532205,11361630,11563796,12739533,6,261344,126224,135119,32274,32818,39856,36268,45651,74476,75660,53540,28716,28692,41828,32908,36806,36060,36247,36036,36170,38725,41300,8,9,0,0,0,0,0,0,0,0,0,7767,126175,61748,71637,108464,47619,423410,3
2130320,3842,2280,1562,393,543,304,535,505,867,695,346,0,107,453,1945,991,2618,1198,103,562,744,898,903,609,52272473,31850020,20422453,5919918,7544737,4336046,6678558,7370761,10667189,9755264,5203076,0,1343246,5585366,25915141,14225644,37967947,13878615,1349906,7235428,9635389,12663442,12201756,8760640,5,129472,61429,68043,13759,15597,22316,21473,22103,34224,26433,23899,17112,18865,26964,16198,18388,18159,18223,18159,18343,19391,18807,173,12,0,0,0,0,0,0,0,0,0,95685,1430904,524991,599501,1092921,379477,4123479,3
2130319,6073,4244,1829,826,835,794,799,990,972,857,0,244,800,1474,2938,617,3095,2928,11,439,917,1306,1262,2088,92281207,62238333,30042874,11724240,12392968,11810859,11763472,14546794,15603504,14439370,0,4930168,13632476,23064263,42246140,8408160,47519717,43476384,246144,6006251,13290012,19970318,20003282,31480093,5,747675,360565,387108,122276,80782,114975,116679,118121,194843,205778,145890,79698,85787,131738,98783,104622,101937,103491,101380,101867,114647,119730,34,5,0,0,0,0,0,0,0,0,0,108564,1345273,593877,703048,1215732,442565,4409059,3
2130318,6199,3908,2291,638,792,791,676,1011,1226,1065,784,0,5,307,2311,2792,4092,2103,22,1390,1519,1500,1067,697,259550981,164530745,95020236,28589547,32235911,34659055,28728382,40317850,50051518,44968718,36384655,0,102526,12663542,92991077,117409181,171991208,87302816,869341,58260557,63146772,67505585,43392600,26119170,7,385128,180166,204963,30475,84569,75600,57796,59552,77136,57463,61834,57919,66525,91738,49649,49423,50126,51101,50974,56480,65310,61714,266,37,1,1,0,0,0,0,0,0,0,103606,626015,367926,454100,682044,296793,2530484,3
2130317,2498,1568,930,208,342,239,294,485,557,373,0,24,294,469,1536,175,1485,1013,8,216,406,639,686,543,32481868,20149639,12332229,2728299,3973134,2911246,4144151,6392809,7339362,4992867,0,242604,4006542,6096913,19805220,2330589,19633279,12848589,71588,2655683,5136164,9241791,8709756,6666886,2,477008,226535,250474,62273,48842,63994,65467,82538,153897,129807,94122,53934,54615,81691,62841,67263,66423,66116,66160,65470,71002,74574,107,9,0,0,0,0,0,0,0,0,0,63176,718135,293121,358004,557500,214751,2204687,3
2130315,3853,2670,1183,324,557,498,460,831,610,573,207,11,151,181,1873,1430,2307,1401,48,599,1111,652,833,465,83758399,57761240,25997159,6576055,12537611,10701096,10307328,17639150,13436601,12560558,5012383,336403,2930276,3962378,37862089,33654870,51411277,27474427,980625,11777117,22711458,15661739,16803571,10951192,5,603305,290213,313092,88105,94929,116430,98347,88331,117162,134802,125466,84689,84559,104977,68814,90347,90739,89443,89384,88384,78108,76901,1372,15,2,0,0,0,0,0,0,0,0,73375,1635336,497289,616567,1450044,384475,4657086,3
2130313,12392,8925,3467,1263,1866,1826,1774,2196,2434,1033,1431,101,536,804,5126,4394,7514,4848,119,2256,3890,2679,2091,1326,222854324,147144432,75709892,20087729,30667407,29958098,29744789,36686409,49234423,26475469,45275486,5697840,5672163,8938245,75779790,81490800,141850552,80434840,2536163,39861131,63823704,50367847,41276150,24420397,6,974321,445112,529209,132640,140225,200135,160923,135946,204451,297352,204454,101998,99219,144568,126729,140413,136985,136864,136650,137407,141156,144848,3469,33,0,1,0,0,0,0,0,0,0,44603,586559,308556,342641,609508,250482,2142349,3
2130312,6669,4403,2266,893,702,862,635,1311,1220,1046,849,0,0,198,2636,2986,3912,2244,0,705,1828,1559,1503,561,253915059,167695530,86219529,34470948,26502658,34970984,22091715,49659225,44815233,41404296,35259832,0,0,6546219,91556426,120552582,148298557,82470671,0,27671220,71769245,60332280,54436447,16560034,6,327946,154588,173358,54324,40469,66223,58018,46285,62627,66788,62148,44785,46515,66007,41702,47323,46764,46595,46320,46855,47227,46862,619,9,0,0,0,0,0,0,0,0,0,88812,1106620,525381,648744,1005232,389965,3764754,3
2130311,47200,27636,19564,2192,6494,5497,6442,7011,10217,9347,326,344,8088,11638,22167,4637,25745,20069,221,7666,10773,9265,9462,8428,729451978,446094690,283357288,42956210,102539851,87677755,108441286,104479588,147275383,136081905,12716888,6122923,101306098,147253916,347504822,114547331,409282574,263414581,2735160,87609063,135191819,144615041,158959374,143586699,9,837553,401481,436073,146388,125124,144480,147874,115496,158191,195851,152733,98986,109791,168759,111430,117275,117353,118593,117097,119719,128694,118821,377,17,0,2,0,0,0,0,0,0,0,100941,1504534,833482,1016695,1642163,701290,5799105,2
