상권코드,분기당매출건수,주중매출건수,주말매출건수,월요일매출건수,화요일매출건수,수요일매출건수,목요일매출건수,금요일매출건수,토요일매출건수,일요일매출건수,시간대0006매출건수,시간대0611매출건수,시간대1114매출건수,시간대1417매출건수,시간대1721매출건수,시간대2124매출건수,남성매출건수,여성매출건수,연령대10매출건수,연령대20매출건수,연령대30매출건수,연령대40매출건수,연령대50매출건수,연령대60이상매출건수,분기당매출금액,주중매출금액,주말매출금액,월요일매출금액,화요일매출금액,수요일매출금액,목요일매출금액,금요일매출금액,토요일매출금액,일요일매출금액,시간대0006매출금액,시간대0611매출금액,시간대1114매출금액,시간대1417매출금액,시간대1721매출금액,시간대2124매출금액,남성매출금액,여성매출금액,연령대10매출금액,연령대20매출금액,연령대30매출금액,연령대40매출금액,연령대50매출금액,연령대60이상매출금액,점포수,총생활인구수,남성생활인구수,여성생활인구수,연령대10생활인구수,연령대20생활인구수,연령대30생활인구수,연령대40생활인구수,연령대50생활인구수,연령대60이상생활인구수,시간대0006생활인구수,시간대0611생활인구수,시간대1114생활인구수,시간대1417생활인구수,시간대1721생활인구수,시간대2124생활인구수,월요일생활인구수,화요일생활인구수,수요일생활인구수,목요일생활인구수,금요일생활인구수,토요일생활인구수,일요일생활인구수,총직장인구수,집객시설수,관공서수,은행수,대학교수,백화점수,슈퍼마켓수,의료시설수,교육시설수,여가시설수,교통시설수,시간대0006유동인구수,시간대0611유동인구수,시간대1114유동인구수,시간대1417유동인구수,시간대1721유동인구수,시간대2124유동인구수,총유동인구수,cluster
2130324,6264,3881,2383,675,702,888,717,899,1114,1269,0,9,1016,1065,3159,1015,3550,2714,140,1460,1214,1280,1522,648,90527751,55948656,34579095,10341572,9442577,12314837,10866733,12982937,15890364,18688731,0,209147,14729619,14507052,46359051,14722882,53921839,36605912,1944587,21600764,17330264,18759133,21881653,9011350,3,506523,232053,274471,84356,56747,70321,76606,80562,137931,142738,103748,58341,57614,79840,64245,71545,71690,71191,70622,71792,75111,74572,154,5,0,0,0,0,0,0,0,0,0,46262,594849,325962,385854,578937,203902,2135766,0
2130323,664,336,328,55,62,55,84,80,118,210,0,0,30,116,414,49,261,317,6,43,36,243,180,69,17426381,9178767,8247614,2064516,2064516,1519346,1928685,1601704,2849389,5398225,0,0,893661,2633656,10758344,1076204,6071460,7841740,174553,881990,665038,5865352,4713652,1612616,2,347808,171022,176786,54293,45265,43682,54020,60337,90211,94749,72545,39982,40555,57081,42896,49441,49168,49913,49131,49706,50548,49902,171,6,0,0,0,0,0,0,0,0,0,37483,687649,346323,424170,668960,221300,2385885,0
2130318,5086,3541,1545,678,654,711,752,746,729,816,0,0,1690,1273,1746,377,3181,1673,134,1580,1089,1025,635,393,125243810,81964863,43278947,14922218,15351866,16814982,16929555,17946242,20637542,22641405,0,0,28803735,26976649,55391822,14071604,79958032,38111680,2410460,39055228,26688948,25634841,14968771,9311464,6,364333,171251,193081,30916,75208,71427,54570,55926,76286,52301,61494,55245,65491,89790,40012,48296,48718,49565,49437,52672,58954,56690,266,37,1,1,0,0,0,0,0,0,0,92359,562218,339507,414865,634830,276367,2320146,0
2130317,4124,2537,1587,391,472,609,521,544,708,879,0,0,359,723,2490,552,2490,1634,32,747,788,1200,929,428,59229491,35021092,24208399,4843144,6669793,8467165,7329371,7711619,11011137,13197262,0,0,5233523,10047388,36890847,7057733,35969320,23260171,575640,10303256,10755878,18199955,13085572,6309190,2,507036,241268,265767,68133,52511,66940,68868,85670,164912,133286,100741,59209,60574,87497,65729,70799,70871,70728,69770,69764,76114,78991,107,9,0,0,0,0,0,0,0,0,0,59304,665209,285237,341299,544849,206053,2101951,0
2130315,35527,26135,9392,5075,4822,4843,5749,5646,5140,4252,444,2060,12156,6773,11735,2359,20423,13388,880,7689,10017,7176,5773,2272,540231189,374204501,166026688,67833140,69720371,68753336,72245378,95652276,86841471,79185217,4961750,16778909,173108099,116309551,198539531,30533349,297438311,183964031,9040217,96561121,130015079,113764296,94567349,37454282,6,608991,294570,314419,82675,97895,117969,98827,92223,119402,134413,126075,85791,86224,107233,69254,89427,89230,89990,90938,89987,81086,78332,1372,15,2,0,0,0,0,0,0,0,0,67349,1625715,473504,591653,1463452,371709,4593382,2
2130314,9315,5723,3592,1213,972,1279,852,1407,1809,1783,0,335,968,1712,4711,1589,5400,3683,16,971,1755,2760,1803,1778,136374034,81634008,54740026,19090868,10978941,21632440,10674891,19256868,28364752,26375274,0,2022923,14675696,28775814,68908576,21991025,74719443,52134063,80475,11345571,25700016,38312266,26434252,24980926,3,1369696,628715,740982,183970,163121,214587,213415,225355,369249,339455,273036,163512,164548,245303,183842,192609,191762,192755,191058,192650,203886,204978,202,21,1,0,0,0,0,0,0,0,0,52695,355359,181642,217956,337793,152559,1298004,0
2130313,17703,12095,5608,2538,2274,2584,2349,2350,2817,2791,0,196,4231,3274,7392,2610,9754,7374,300,3000,5022,4104,3081,1624,220814896,146978787,73836109,29845501,28038136,31375808,28156445,29562897,37587181,36248928,0,2130898,52579144,41001829,92347694,32755331,117028874,87694076,3320596,33860396,59372571,48734326,39478476,19956584,5,927061,427025,500035,127282,135680,190332,150133,129441,194194,272792,193979,100956,98846,140076,120413,131700,129745,131075,130987,131673,134653,137225,3469,33,0,1,0,0,0,0,0,0,0,41088,565975,297581,336592,610691,244528,2096455,0
2130310,10436,7993,2443,1708,1630,1617,1523,1515,1777,666,0,722,4003,2408,3258,45,5103,5220,555,2058,2508,2095,2229,879,81753480,57805296,23948184,12437164,12105563,11552648,10771432,10938489,15529639,8418545,0,6378698,31116801,17354458,26189453,714070,37882366,40343784,3533273,13492415,16878156,16949757,18391804,8980745,5,211820,98261,113560,46318,21102,23708,37019,34027,49645,24967,40548,37899,41800,47728,18879,29637,30054,30929,30781,31410,30451,28559,298,30,0,3,0,0,0,0,0,0,0,15951,392083,212683,266804,366210,148437,1402168,0
2130307,8194,5365,2829,1198,1137,1137,876,1017,1350,1479,0,0,1409,1308,3313,1027,4042,2863,484,956,614,2015,2273,563,112971699,74507938,38463761,15812790,15707055,15707055,13568634,13712404,18540209,19923552,0,0,18496917,18748616,47783700,12235411,55412306,38451370,5837666,11556179,9221720,27558762,31227150,8462199,2,199674,91340,108334,67783,16203,17953,47195,26429,24112,36380,37914,25703,30105,41908,27665,27562,27862,28356,28305,28470,30040,29080,57,9,0,0,0,0,0,0,0,0,0,45097,1308439,774899,879878,1413778,552599,4974690,0
2130303,454,289,165,32,43,49,94,71,60,105,43,0,66,76,204,65,235,148,0,33,65,115,98,71,15232452,11164746,4067706,778193,1679885,2214093,3843366,2649209,1385340,2682366,1613184,0,1966332,1960204,8080423,1612309,8412175,3769277,0,436209,1929999,4948441,2657962,2208840,2,362410,182511,179900,18755,80492,91098,70336,47483,54245,61872,68503,54141,56146,79811,41938,52818,53081,53408,56046,56738,48574,41745,242,5,0,0,0,0,0,0,0,0,0,150896,1643570,646218,787087,1637416,610216,5475403,0
